,recall,precision,fscore,tp,fp,fn
albania,0.7272727272727273,0.6153846153846154,0.7017543859649122,16.0,10.0,6.0
algeria,0.5,0.1875,0.375,3.0,13.0,3.0
angola,0.5714285714285714,0.17391304347826086,0.39215686274509803,4.0,19.0,3.0
argentina,0.875,0.8235294117647058,0.8641975308641975,42.0,9.0,6.0
armenia,0.2727272727272727,0.8571428571428571,0.3157894736842105,6.0,1.0,16.0
azerbaijan,0.1111111111111111,0.125,0.11363636363636363,1.0,7.0,8.0
belarus,0.5,0.16666666666666666,0.35714285714285715,1.0,5.0,1.0
bosnia-herzegovina,0.631578947368421,1.0,0.6818181818181818,12.0,0.0,7.0
brazil,0.9583333333333334,0.7666666666666667,0.9126984126984127,23.0,7.0,1.0
bulgaria,0.6923076923076923,0.4090909090909091,0.6081081081081081,9.0,13.0,4.0
chile,0.8888888888888888,0.34782608695652173,0.6779661016949152,8.0,15.0,1.0
china,0.0,0.0,0.0,0.0,11.0,2.0
colombia,0.9696969696969697,0.8205128205128205,0.935672514619883,32.0,7.0,1.0
costa-rica,0.6428571428571429,0.45,0.5921052631578947,9.0,11.0,5.0
croatia,0.6923076923076923,0.6923076923076923,0.6923076923076923,9.0,4.0,4.0
dominican-republic,0.3125,1.0,0.36231884057971014,5.0,0.0,11.0
ecuador,0.75,0.48,0.6741573033707865,12.0,13.0,4.0
egypt,0.6842105263157895,0.43333333333333335,0.6132075471698113,13.0,17.0,6.0
el-salvador,0.15384615384615385,0.5,0.17857142857142858,2.0,2.0,11.0
georgia,0.5555555555555556,0.4838709677419355,0.539568345323741,15.0,16.0,12.0
guatemala,0.5454545454545454,0.42857142857142855,0.5172413793103449,6.0,8.0,5.0
hungary,0.9047619047619048,0.6129032258064516,0.8260869565217391,19.0,12.0,2.0
india,0.75,0.1935483870967742,0.47619047619047616,6.0,25.0,2.0
indonesia,0.8571428571428571,0.2608695652173913,0.5882352941176471,6.0,17.0,1.0
jamaica,0.7441860465116279,0.8,0.7547169811320755,32.0,8.0,11.0
jordan,0.6944444444444444,0.7352941176470589,0.702247191011236,25.0,9.0,11.0
kazakhstan,0.5454545454545454,0.6666666666666666,0.5660377358490566,6.0,3.0,5.0
latvia,0.625,0.5,0.5952380952380952,10.0,10.0,6.0
lithuania,0.5454545454545454,0.42857142857142855,0.5172413793103449,6.0,8.0,5.0
macedonia,0.75,0.9375,0.78125,15.0,1.0,5.0
mauritius,0.4,0.07692307692307693,0.21739130434782608,2.0,24.0,3.0
mexico,0.8275862068965517,0.7741935483870968,0.8163265306122449,24.0,7.0,5.0
morocco,0.7307692307692307,0.59375,0.6985294117647058,19.0,13.0,7.0
pakistan,0.7631578947368421,0.8055555555555556,0.7712765957446809,29.0,7.0,9.0
panama,0.8,0.5714285714285714,0.7407407407407407,16.0,12.0,4.0
paraguay,0.7777777777777778,0.3333333333333333,0.6140350877192983,7.0,14.0,2.0
peru,0.8181818181818182,0.7297297297297297,0.7988165680473372,27.0,10.0,6.0
philippines,0.6521739130434783,0.46875,0.6048387096774194,15.0,17.0,8.0
poland,0.6521739130434783,0.6,0.6410256410256411,15.0,10.0,8.0
romania,0.7575757575757576,0.78125,0.7621951219512195,25.0,7.0,8.0
russia,0.5555555555555556,0.2777777777777778,0.46296296296296297,5.0,13.0,4.0
serbia,0.6,0.5625,0.5921052631578947,9.0,7.0,6.0
south-africa,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
sri-lanka,0.8181818181818182,0.7105263157894737,0.7941176470588235,27.0,11.0,6.0
thailand,0.7272727272727273,0.36363636363636365,0.6060606060606061,8.0,14.0,3.0
tunisia,0.9166666666666666,0.6111111111111112,0.8333333333333334,22.0,14.0,2.0
turkey,0.5789473684210527,0.4782608695652174,0.5555555555555556,11.0,12.0,8.0
ukraine,0.6666666666666666,0.8888888888888888,0.7017543859649122,16.0,2.0,8.0
uruguay,0.5172413793103449,0.7142857142857143,0.5474452554744526,15.0,6.0,14.0
venezuela,0.6,0.17647058823529413,0.40540540540540543,3.0,14.0,2.0
vietnam,0.8235294117647058,0.45161290322580644,0.7070707070707071,14.0,17.0,3.0
aggregate,0.7023305084745762,0.5515806988352745,0.665930092406589,663.0,539.0,281.0
