,recall,precision,fscore,tp,fp,fn
albania,0.8461538461538461,0.6470588235294118,0.7971014492753623,22.0,12.0,4.0
algeria,1.0,0.3125,0.6944444444444444,10.0,22.0,0.0
angola,0.8,0.21621621621621623,0.5194805194805194,8.0,29.0,2.0
argentina,0.8888888888888888,0.8,0.8695652173913043,40.0,10.0,5.0
armenia,0.5,0.875,0.546875,14.0,2.0,14.0
azerbaijan,0.8461538461538461,0.4074074074074074,0.6962025316455697,11.0,16.0,2.0
belarus,1.0,0.3125,0.6944444444444444,5.0,11.0,0.0
bosnia-herzegovina,1.0,0.9142857142857143,0.9815950920245399,32.0,3.0,0.0
brazil,0.9259259259259259,0.5813953488372093,0.8278145695364238,25.0,18.0,2.0
bulgaria,0.9230769230769231,0.6486486486486487,0.851063829787234,24.0,13.0,2.0
chile,0.9166666666666666,0.34375,0.6875,11.0,21.0,1.0
china,0.0,0.0,0.0,0.0,35.0,2.0
colombia,0.9318181818181818,0.7192982456140351,0.8798283261802575,41.0,16.0,3.0
costa-rica,0.782608695652174,0.5294117647058824,0.7142857142857143,18.0,16.0,5.0
croatia,0.9333333333333333,0.5384615384615384,0.813953488372093,14.0,12.0,1.0
dominican-republic,0.14285714285714285,1.0,0.1724137931034483,2.0,0.0,12.0
ecuador,0.5714285714285714,0.5,0.5555555555555556,8.0,8.0,6.0
egypt,0.7777777777777778,0.4,0.6542056074766355,14.0,21.0,4.0
el-salvador,0.5,0.6153846153846154,0.5194805194805194,8.0,5.0,8.0
georgia,0.9473684210526315,0.75,0.9,36.0,12.0,2.0
guatemala,0.7857142857142857,0.4074074074074074,0.6626506024096386,11.0,16.0,3.0
hungary,0.92,0.6571428571428571,0.8518518518518519,23.0,12.0,2.0
india,0.7142857142857143,0.1388888888888889,0.390625,5.0,31.0,2.0
indonesia,0.8947368421052632,0.40476190476190477,0.7203389830508474,17.0,25.0,2.0
jamaica,0.9069767441860465,0.8125,0.8863636363636364,39.0,9.0,4.0
jordan,0.9534883720930233,0.7735849056603774,0.9111111111111111,41.0,12.0,2.0
kazakhstan,0.7692307692307693,0.38461538461538464,0.6410256410256411,10.0,16.0,3.0
latvia,0.9705882352941176,0.7333333333333333,0.9116022099447514,33.0,12.0,1.0
lithuania,0.4444444444444444,0.19047619047619047,0.3508771929824561,4.0,17.0,5.0
macedonia,0.9090909090909091,0.9090909090909091,0.9090909090909091,20.0,2.0,2.0
mauritius,0.5714285714285714,0.14285714285714285,0.35714285714285715,4.0,24.0,3.0
mexico,0.9411764705882353,0.9056603773584906,0.933852140077821,48.0,5.0,3.0
morocco,0.8275862068965517,0.5333333333333333,0.7453416149068323,24.0,21.0,5.0
pakistan,0.9310344827586207,0.9,0.9246575342465754,54.0,6.0,4.0
panama,0.6666666666666666,0.46153846153846156,0.6122448979591837,12.0,14.0,6.0
paraguay,0.8,0.25806451612903225,0.5633802816901409,8.0,23.0,2.0
peru,0.8666666666666667,0.65,0.8125,26.0,14.0,4.0
philippines,0.8888888888888888,0.6666666666666666,0.8333333333333334,32.0,16.0,4.0
poland,0.9444444444444444,0.68,0.8762886597938144,34.0,16.0,2.0
romania,0.9148936170212766,0.7962962962962963,0.8884297520661157,43.0,11.0,4.0
russia,0.7,0.20588235294117646,0.47297297297297297,7.0,27.0,3.0
serbia,0.8928571428571429,0.8064516129032258,0.8741258741258742,25.0,6.0,3.0
south-africa,1.0,0.03125,0.1388888888888889,1.0,31.0,0.0
sri-lanka,0.9285714285714286,0.8297872340425532,0.9069767441860465,39.0,8.0,3.0
thailand,0.8333333333333334,0.38461538461538464,0.6756756756756757,15.0,24.0,3.0
tunisia,0.8636363636363636,0.5135135135135135,0.76,19.0,18.0,3.0
turkey,0.8571428571428571,0.5660377358490566,0.7772020725388601,30.0,23.0,5.0
ukraine,0.8636363636363636,0.9743589743589743,0.8837209302325582,38.0,1.0,6.0
uruguay,0.9473684210526315,0.8372093023255814,0.9230769230769231,36.0,7.0,2.0
venezuela,0.9090909090909091,0.2631578947368421,0.6097560975609756,10.0,28.0,1.0
vietnam,0.8461538461538461,0.2619047619047619,0.5851063829787234,11.0,31.0,2.0
aggregate,0.8627132412672623,0.5740540540540541,0.7838795394154119,1062.0,788.0,169.0
