,recall,precision,fscore,tp,fp,fn
albania,0.88,0.7096774193548387,0.8396946564885496,22.0,9.0,3.0
algeria,0.5,0.14285714285714285,0.3333333333333333,3.0,18.0,3.0
angola,1.0,0.2857142857142857,0.6666666666666666,8.0,20.0,0.0
argentina,0.8372093023255814,0.8,0.8294930875576036,36.0,9.0,7.0
armenia,0.2727272727272727,0.8571428571428571,0.3157894736842105,6.0,1.0,16.0
azerbaijan,0.5384615384615384,0.5,0.5303030303030303,7.0,7.0,6.0
belarus,0.5,0.14285714285714285,0.3333333333333333,1.0,6.0,1.0
bosnia-herzegovina,0.6818181818181818,0.9375,0.7211538461538461,15.0,1.0,7.0
brazil,0.9565217391304348,0.7096774193548387,0.8943089430894309,22.0,9.0,1.0
bulgaria,0.8,0.4444444444444444,0.6896551724137931,12.0,15.0,3.0
chile,0.5555555555555556,0.2777777777777778,0.46296296296296297,5.0,13.0,4.0
china,0.5,0.06666666666666667,0.21739130434782608,1.0,14.0,1.0
colombia,0.90625,0.7837837837837838,0.8787878787878788,29.0,8.0,3.0
costa-rica,0.6666666666666666,0.4166666666666667,0.5952380952380952,10.0,14.0,5.0
croatia,0.5454545454545454,0.5,0.5357142857142857,6.0,6.0,5.0
dominican-republic,0.3125,1.0,0.36231884057971014,5.0,0.0,11.0
ecuador,0.6875,0.5,0.6395348837209303,11.0,11.0,5.0
egypt,0.8,0.48484848484848486,0.7079646017699115,16.0,17.0,4.0
el-salvador,0.23076923076923078,0.42857142857142855,0.2542372881355932,3.0,4.0,10.0
georgia,0.5172413793103449,0.5,0.5136986301369864,15.0,15.0,14.0
guatemala,0.5454545454545454,0.35294117647058826,0.4918032786885246,6.0,11.0,5.0
hungary,0.8636363636363636,0.6333333333333333,0.8050847457627118,19.0,11.0,3.0
india,0.75,0.20689655172413793,0.4918032786885246,6.0,23.0,2.0
indonesia,0.6666666666666666,0.16666666666666666,0.4166666666666667,4.0,20.0,2.0
jamaica,0.8333333333333334,0.813953488372093,0.8293838862559242,35.0,8.0,7.0
jordan,0.7142857142857143,0.7352941176470589,0.7183908045977011,25.0,9.0,10.0
kazakhstan,0.25,0.2222222222222222,0.24390243902439024,2.0,7.0,6.0
latvia,0.625,0.5,0.5952380952380952,10.0,10.0,6.0
lithuania,0.7,0.5833333333333334,0.6730769230769231,7.0,5.0,3.0
macedonia,0.8636363636363636,1.0,0.8878504672897196,19.0,0.0,3.0
mauritius,0.4,0.07692307692307693,0.21739130434782608,2.0,24.0,3.0
mexico,0.625,0.7142857142857143,0.6410256410256411,20.0,8.0,12.0
morocco,0.9333333333333333,0.6666666666666666,0.8641975308641975,28.0,14.0,2.0
pakistan,0.8421052631578947,0.8421052631578947,0.8421052631578947,32.0,6.0,6.0
panama,0.7894736842105263,0.5555555555555556,0.7281553398058253,15.0,12.0,4.0
paraguay,0.7142857142857143,0.29411764705882354,0.5555555555555556,5.0,12.0,2.0
peru,0.7666666666666667,0.696969696969697,0.7516339869281046,23.0,10.0,7.0
philippines,0.4782608695652174,0.4583333333333333,0.47413793103448276,11.0,13.0,12.0
poland,0.6521739130434783,0.5555555555555556,0.6302521008403361,15.0,12.0,8.0
romania,0.7142857142857143,0.78125,0.7267441860465116,25.0,7.0,10.0
russia,0.5555555555555556,0.2631578947368421,0.45454545454545453,5.0,14.0,4.0
serbia,0.6470588235294118,0.6111111111111112,0.6395348837209303,11.0,7.0,6.0
south-africa,0.0,0.0,0.0,0.0,25.0,1.0
sri-lanka,0.8484848484848485,0.717948717948718,0.8187134502923976,28.0,11.0,5.0
thailand,0.6666666666666666,0.25,0.5,6.0,18.0,3.0
tunisia,0.8695652173913043,0.5882352941176471,0.7936507936507936,20.0,14.0,3.0
turkey,0.6190476190476191,0.5652173913043478,0.6074766355140186,13.0,10.0,8.0
ukraine,0.5454545454545454,1.0,0.6,12.0,0.0,10.0
uruguay,0.5517241379310345,0.6956521739130435,0.5755395683453237,16.0,7.0,13.0
venezuela,0.2,0.06666666666666667,0.14285714285714285,1.0,14.0,4.0
vietnam,0.8235294117647058,0.45161290322580644,0.7070707070707071,14.0,17.0,3.0
aggregate,0.7031578947368421,0.545751633986928,0.6648089171974523,668.0,556.0,282.0
