,recall,precision,fscore,tp,fp,fn
albania,1.0,0.21428571428571427,0.5769230769230769,3.0,11.0,0.0
algeria,0.0,0.0,0.0,0.0,17.0,1.0
angola,0.0,0.0,0.0,0.0,22.0,2.0
argentina,1.0,0.13333333333333333,0.43478260869565216,4.0,26.0,0.0
armenia,0.0,0.0,0.0,0.0,6.0,1.0
azerbaijan,0.0,0.0,0.0,0.0,6.0,1.0
belarus,0.0,0.0,0.0,0.0,5.0,2.0
bosnia-herzegovina,0.0,0.0,0.0,0.0,7.0,2.0
brazil,1.0,0.09090909090909091,0.3333333333333333,2.0,20.0,0.0
bulgaria,0.0,0.0,0.0,0.0,15.0,1.0
chile,1.0,0.16666666666666666,0.5,4.0,20.0,0.0
china,0.0,0.0,0.0,0.0,14.0,1.0
colombia,1.0,0.08333333333333333,0.3125,2.0,22.0,0.0
costa-rica,0.0,0.0,0.0,0.0,24.0,2.0
croatia,0.0,0.0,0.0,0.0,10.0,1.0
dominican-republic,0.3333333333333333,0.2,0.29411764705882354,1.0,4.0,2.0
ecuador,0.75,0.14285714285714285,0.40540540540540543,3.0,18.0,1.0
egypt,0.8,0.17391304347826086,0.46511627906976744,4.0,19.0,1.0
el-salvador,0.3333333333333333,0.25,0.3125,1.0,3.0,2.0
georgia,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
guatemala,0.75,0.16666666666666666,0.4411764705882353,3.0,15.0,1.0
hungary,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
india,0.0,0.0,0.0,0.0,30.0,2.0
indonesia,0.0,0.0,0.0,0.0,15.0,1.0
jamaica,0.0,0.0,0.0,0.0,25.0,2.0
jordan,0.75,0.15,0.4166666666666667,3.0,17.0,1.0
kazakhstan,0.0,0.0,0.0,0.0,6.0,1.0
latvia,0.6666666666666666,0.14285714285714285,0.38461538461538464,2.0,12.0,1.0
lithuania,1.0,0.3333333333333333,0.7142857142857143,3.0,6.0,0.0
macedonia,0.5,0.125,0.3125,1.0,7.0,1.0
mauritius,0.0,0.0,0.0,0.0,24.0,1.0
mexico,1.0,0.23809523809523808,0.6097560975609756,5.0,16.0,0.0
morocco,0.8,0.15384615384615385,0.43478260869565216,4.0,22.0,1.0
pakistan,0.6,0.11538461538461539,0.32608695652173914,3.0,23.0,2.0
panama,0.6666666666666666,0.09090909090909091,0.29411764705882354,2.0,20.0,1.0
paraguay,1.0,0.3076923076923077,0.6896551724137931,4.0,9.0,0.0
peru,0.5,0.08,0.24390243902439024,2.0,23.0,2.0
philippines,0.0,0.0,0.0,0.0,26.0,1.0
poland,0.5,0.05555555555555555,0.19230769230769232,1.0,17.0,1.0
romania,0.5,0.043478260869565216,0.16129032258064516,1.0,22.0,1.0
russia,1.0,0.16666666666666666,0.5,3.0,15.0,0.0
serbia,0.5,0.14285714285714285,0.3333333333333333,1.0,6.0,1.0
south-africa,1.0,0.034482758620689655,0.15151515151515152,1.0,28.0,0.0
sri-lanka,0.8888888888888888,0.24242424242424243,0.5797101449275363,8.0,25.0,1.0
thailand,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
tunisia,1.0,0.3333333333333333,0.7142857142857143,8.0,16.0,0.0
turkey,0.5,0.045454545454545456,0.16666666666666666,1.0,21.0,1.0
ukraine,0.0,0.0,0.0,0.0,13.0,2.0
uruguay,0.0,0.0,0.0,0.0,13.0,1.0
venezuela,0.0,0.0,0.0,0.0,11.0,2.0
vietnam,0.6,0.1111111111111111,0.3191489361702128,3.0,24.0,2.0
aggregate,0.6433566433566433,0.0989247311827957,0.3062583222370173,92.0,838.0,51.0
