,recall,precision,fscore,tp,fp,fn
albania,1.0,0.125,0.4166666666666667,2.0,14.0,0.0
algeria,0.0,0.0,0.0,0.0,19.0,1.0
angola,0.5,0.045454545454545456,0.16666666666666666,1.0,21.0,1.0
argentina,1.0,0.13333333333333333,0.43478260869565216,4.0,26.0,0.0
armenia,0.0,0.0,0.0,0.0,7.0,1.0
azerbaijan,0.0,0.0,0.0,0.0,5.0,1.0
belarus,0.0,0.0,0.0,0.0,4.0,2.0
bosnia-herzegovina,0.0,0.0,0.0,0.0,6.0,2.0
brazil,0.5,0.043478260869565216,0.16129032258064516,1.0,22.0,1.0
bulgaria,0.0,0.0,0.0,0.0,15.0,1.0
chile,1.0,0.16666666666666666,0.5,4.0,20.0,0.0
china,0.0,0.0,0.0,0.0,17.0,1.0
colombia,1.0,0.07692307692307693,0.29411764705882354,2.0,24.0,0.0
costa-rica,0.0,0.0,0.0,0.0,24.0,2.0
croatia,0.0,0.0,0.0,0.0,8.0,1.0
dominican-republic,0.3333333333333333,0.2,0.29411764705882354,1.0,4.0,2.0
ecuador,0.8,0.17391304347826086,0.46511627906976744,4.0,19.0,1.0
egypt,1.0,0.2222222222222222,0.5882352941176471,6.0,21.0,0.0
el-salvador,0.0,0.0,0.0,0.0,2.0,3.0
georgia,1.0,0.19230769230769232,0.5434782608695652,5.0,21.0,0.0
guatemala,0.75,0.16666666666666666,0.4411764705882353,3.0,15.0,1.0
hungary,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
india,0.0,0.0,0.0,0.0,27.0,2.0
indonesia,0.0,0.0,0.0,0.0,16.0,1.0
jamaica,0.0,0.0,0.0,0.0,22.0,2.0
jordan,1.0,0.18181818181818182,0.5263157894736842,4.0,18.0,0.0
kazakhstan,0.0,0.0,0.0,0.0,9.0,1.0
latvia,0.6666666666666666,0.15384615384615385,0.4,2.0,11.0,1.0
lithuania,0.6666666666666666,0.18181818181818182,0.43478260869565216,2.0,9.0,1.0
macedonia,0.5,0.125,0.3125,1.0,7.0,1.0
mauritius,0.0,0.0,0.0,0.0,26.0,1.0
mexico,1.0,0.20833333333333334,0.5681818181818182,5.0,19.0,0.0
morocco,0.8,0.17391304347826086,0.46511627906976744,4.0,19.0,1.0
pakistan,0.6,0.12,0.3333333333333333,3.0,22.0,2.0
panama,0.5,0.05555555555555555,0.19230769230769232,1.0,17.0,1.0
paraguay,1.0,0.2727272727272727,0.6521739130434783,3.0,8.0,0.0
peru,0.5,0.07692307692307693,0.23809523809523808,2.0,24.0,2.0
philippines,0.0,0.0,0.0,0.0,32.0,1.0
poland,0.5,0.0625,0.20833333333333334,1.0,15.0,1.0
romania,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
russia,1.0,0.14285714285714285,0.45454545454545453,3.0,18.0,0.0
serbia,0.5,0.09090909090909091,0.2631578947368421,1.0,10.0,1.0
south-africa,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
sri-lanka,0.9,0.2727272727272727,0.6164383561643836,9.0,24.0,1.0
thailand,0.5,0.043478260869565216,0.16129032258064516,1.0,22.0,1.0
tunisia,1.0,0.2857142857142857,0.6666666666666666,6.0,15.0,0.0
turkey,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
ukraine,0.0,0.0,0.0,0.0,12.0,2.0
uruguay,0.0,0.0,0.0,0.0,14.0,1.0
venezuela,0.5,0.09090909090909091,0.2631578947368421,1.0,10.0,1.0
vietnam,0.6,0.13043478260869565,0.3488372093023256,3.0,20.0,2.0
aggregate,0.6453900709219859,0.09680851063829787,0.3025265957446808,91.0,849.0,50.0
