,recall,precision,fscore,tp,fp,fn
albania,0.8181818181818182,0.47368421052631576,0.7142857142857143,9.0,10.0,2.0
algeria,0.6,0.2,0.42857142857142855,3.0,12.0,2.0
angola,0.5,0.05,0.17857142857142858,1.0,19.0,1.0
argentina,0.59375,0.6785714285714286,0.6089743589743589,19.0,9.0,13.0
armenia,0.4,0.8,0.4444444444444444,4.0,1.0,6.0
azerbaijan,0.25,0.125,0.20833333333333334,1.0,7.0,3.0
belarus,0.5,0.16666666666666666,0.35714285714285715,1.0,5.0,1.0
bosnia-herzegovina,0.7142857142857143,0.8333333333333334,0.7352941176470589,5.0,1.0,2.0
brazil,0.5217391304347826,0.6666666666666666,0.5454545454545454,12.0,6.0,11.0
bulgaria,0.625,0.2777777777777778,0.5,5.0,13.0,3.0
chile,0.2222222222222222,0.2222222222222222,0.2222222222222222,4.0,14.0,14.0
china,0.5,0.1,0.2777777777777778,1.0,9.0,1.0
colombia,0.48484848484848486,0.6666666666666666,0.5128205128205128,16.0,8.0,17.0
costa-rica,0.45,0.47368421052631576,0.45454545454545453,9.0,10.0,11.0
croatia,0.75,0.5454545454545454,0.6976744186046512,6.0,5.0,2.0
dominican-republic,0.5,1.0,0.5555555555555556,6.0,0.0,6.0
ecuador,0.391304347826087,0.42857142857142855,0.39823008849557523,9.0,12.0,14.0
egypt,0.5384615384615384,0.30434782608695654,0.4666666666666667,7.0,16.0,6.0
el-salvador,0.09523809523809523,0.5,0.11363636363636363,2.0,2.0,19.0
georgia,0.7692307692307693,0.35714285714285715,0.625,10.0,18.0,3.0
guatemala,0.29411764705882354,0.35714285714285715,0.3048780487804878,5.0,9.0,12.0
hungary,0.9375,0.5357142857142857,0.8152173913043478,15.0,13.0,1.0
india,0.2857142857142857,0.08,0.18867924528301888,2.0,23.0,5.0
indonesia,0.25,0.15789473684210525,0.22388059701492538,3.0,16.0,9.0
jamaica,0.47619047619047616,0.5555555555555556,0.49019607843137253,10.0,8.0,11.0
jordan,0.7058823529411765,0.5714285714285714,0.6741573033707865,12.0,9.0,5.0
kazakhstan,0.4,0.4,0.4,2.0,3.0,3.0
latvia,0.6,0.5454545454545454,0.5882352941176471,6.0,5.0,4.0
lithuania,0.5714285714285714,0.3333333333333333,0.5,4.0,8.0,3.0
macedonia,0.7,0.875,0.7291666666666666,7.0,1.0,3.0
mauritius,0.42857142857142855,0.1111111111111111,0.2727272727272727,3.0,24.0,4.0
mexico,0.7272727272727273,0.7272727272727273,0.7272727272727273,16.0,6.0,6.0
morocco,0.5,0.48,0.49586776859504134,12.0,13.0,12.0
pakistan,0.5625,0.8181818181818182,0.6,18.0,4.0,14.0
panama,0.391304347826087,0.4090909090909091,0.39473684210526316,9.0,13.0,14.0
paraguay,0.23076923076923078,0.16666666666666666,0.21428571428571427,3.0,15.0,10.0
peru,0.5405405405405406,0.6666666666666666,0.5617977528089888,20.0,10.0,17.0
philippines,0.34615384615384615,0.375,0.3515625,9.0,15.0,17.0
poland,0.5714285714285714,0.42105263157894735,0.5333333333333333,8.0,11.0,6.0
romania,0.5789473684210527,0.6470588235294118,0.5913978494623656,11.0,6.0,8.0
russia,0.7142857142857143,0.29411764705882354,0.5555555555555556,5.0,12.0,2.0
serbia,0.8,0.3076923076923077,0.6060606060606061,4.0,9.0,1.0
south-africa,0.3333333333333333,0.07142857142857142,0.19230769230769232,2.0,26.0,4.0
sri-lanka,0.6086956521739131,0.5833333333333334,0.603448275862069,14.0,10.0,9.0
thailand,0.5714285714285714,0.2222222222222222,0.43478260869565216,4.0,14.0,3.0
tunisia,0.4166666666666667,0.21739130434782608,0.352112676056338,5.0,18.0,7.0
turkey,0.15789473684210525,0.21428571428571427,0.16666666666666666,3.0,11.0,16.0
ukraine,0.7333333333333333,0.9166666666666666,0.7638888888888888,11.0,1.0,4.0
uruguay,0.25925925925925924,0.5833333333333334,0.2916666666666667,7.0,5.0,20.0
venezuela,0.6666666666666666,0.125,0.35714285714285715,2.0,14.0,1.0
vietnam,0.875,0.2916666666666667,0.625,7.0,17.0,1.0
aggregate,0.5,0.4122905027932961,0.4795944892123733,369.0,526.0,369.0
