,recall,precision,fscore,tp,fp,fn
albania,0.8,0.5333333333333333,0.7272727272727273,8.0,7.0,2.0
algeria,0.8,0.23529411764705882,0.5405405405405406,4.0,13.0,1.0
angola,0.0,0.0,0.0,0.0,19.0,2.0
argentina,0.6060606060606061,0.7692307692307693,0.6329113924050633,20.0,6.0,13.0
armenia,0.0,0.0,0.0,0.0,1.0,10.0
azerbaijan,0.0,0.0,0.0,0.0,3.0,4.0
belarus,0.0,0.0,0.0,0.0,5.0,2.0
bosnia-herzegovina,0.75,1.0,0.7894736842105263,6.0,0.0,2.0
brazil,0.5652173913043478,0.5652173913043478,0.5652173913043478,13.0,10.0,10.0
bulgaria,0.5,0.3076923076923077,0.4444444444444444,4.0,9.0,4.0
chile,0.2631578947368421,0.22727272727272727,0.25510204081632654,5.0,17.0,14.0
china,0.6666666666666666,0.15384615384615385,0.4,2.0,11.0,1.0
colombia,0.47058823529411764,0.6956521739130435,0.5031446540880503,16.0,7.0,18.0
costa-rica,0.4,0.42105263157894735,0.40404040404040403,8.0,11.0,12.0
croatia,0.5714285714285714,0.4,0.5263157894736842,4.0,6.0,3.0
dominican-republic,0.5,1.0,0.5555555555555556,6.0,0.0,6.0
ecuador,0.36363636363636365,0.42105263157894735,0.37383177570093457,8.0,11.0,14.0
egypt,0.6666666666666666,0.4,0.5882352941176471,10.0,15.0,5.0
el-salvador,0.047619047619047616,0.5,0.05813953488372093,1.0,1.0,20.0
georgia,0.6875,0.4074074074074074,0.6043956043956044,11.0,16.0,5.0
guatemala,0.45,0.45,0.45,9.0,11.0,11.0
hungary,0.9375,0.5,0.7978723404255319,15.0,15.0,1.0
india,0.2857142857142857,0.07692307692307693,0.18518518518518517,2.0,24.0,5.0
indonesia,0.09090909090909091,0.07692307692307693,0.08771929824561403,1.0,12.0,10.0
jamaica,0.45,0.5294117647058824,0.4639175257731959,9.0,8.0,11.0
jordan,0.6875,0.55,0.6547619047619048,11.0,9.0,5.0
kazakhstan,0.25,0.2,0.23809523809523808,1.0,4.0,3.0
latvia,0.7777777777777778,0.6363636363636364,0.7446808510638298,7.0,4.0,2.0
lithuania,0.3333333333333333,0.2222222222222222,0.30303030303030304,2.0,7.0,4.0
macedonia,0.6666666666666666,1.0,0.7142857142857143,6.0,0.0,3.0
mauritius,0.42857142857142855,0.11538461538461539,0.2777777777777778,3.0,23.0,4.0
mexico,0.5909090909090909,0.7222222222222222,0.6132075471698113,13.0,5.0,9.0
morocco,0.5384615384615384,0.5185185185185185,0.5343511450381679,14.0,13.0,12.0
pakistan,0.5625,0.782608695652174,0.5960264900662252,18.0,5.0,14.0
panama,0.44,0.5238095238095238,0.45454545454545453,11.0,10.0,14.0
paraguay,0.23076923076923078,0.23076923076923078,0.23076923076923078,3.0,10.0,10.0
peru,0.5526315789473685,0.7,0.5769230769230769,21.0,9.0,17.0
philippines,0.37037037037037035,0.47619047619047616,0.3875968992248062,10.0,11.0,17.0
poland,0.5384615384615384,0.3684210526315789,0.49295774647887325,7.0,12.0,6.0
romania,0.5789473684210527,0.6875,0.5978260869565217,11.0,5.0,8.0
russia,0.6666666666666666,0.23529411764705882,0.4878048780487805,4.0,13.0,2.0
serbia,0.5,0.3333333333333333,0.45454545454545453,2.0,4.0,2.0
south-africa,0.3333333333333333,0.06896551724137931,0.18867924528301888,2.0,27.0,4.0
sri-lanka,0.6666666666666666,0.6923076923076923,0.6716417910447762,18.0,8.0,9.0
thailand,0.5714285714285714,0.2,0.4166666666666667,4.0,16.0,3.0
tunisia,0.46153846153846156,0.25,0.39473684210526316,6.0,18.0,7.0
turkey,0.2,0.2222222222222222,0.20408163265306123,4.0,14.0,16.0
ukraine,0.8333333333333334,0.9375,0.8522727272727273,15.0,1.0,3.0
uruguay,0.2962962962962963,0.7272727272727273,0.33613445378151263,8.0,3.0,19.0
venezuela,0.0,0.0,0.0,0.0,11.0,3.0
vietnam,0.8333333333333334,0.21739130434782608,0.5319148936170213,5.0,18.0,1.0
aggregate,0.49001331557922767,0.42494226327944573,0.4754521963824289,368.0,498.0,383.0
