,recall,precision,fscore,tp,fp,fn
albania,0.8181818181818182,0.5294117647058824,0.7377049180327869,9.0,8.0,2.0
algeria,0.8,0.21052631578947367,0.5128205128205128,4.0,15.0,1.0
angola,0.0,0.0,0.0,0.0,20.0,2.0
argentina,0.5806451612903226,0.72,0.6040268456375839,18.0,7.0,13.0
armenia,0.3,0.6,0.3333333333333333,3.0,2.0,7.0
azerbaijan,0.0,0.0,0.0,0.0,4.0,4.0
belarus,0.0,0.0,0.0,0.0,4.0,2.0
bosnia-herzegovina,0.5,1.0,0.5555555555555556,3.0,0.0,3.0
brazil,0.5217391304347826,0.5,0.5172413793103449,12.0,12.0,11.0
bulgaria,0.5,0.3076923076923077,0.4444444444444444,4.0,9.0,4.0
chile,0.2631578947368421,0.20833333333333334,0.25,5.0,19.0,14.0
china,0.0,0.0,0.0,0.0,16.0,2.0
colombia,0.5142857142857142,0.6923076923076923,0.5421686746987951,18.0,8.0,17.0
costa-rica,0.45,0.45,0.45,9.0,11.0,11.0
croatia,0.5,0.375,0.46875,3.0,5.0,3.0
dominican-republic,0.5,1.0,0.5555555555555556,6.0,0.0,6.0
ecuador,0.30434782608695654,0.35,0.3125,7.0,13.0,16.0
egypt,0.6470588235294118,0.3793103448275862,0.5670103092783505,11.0,18.0,6.0
el-salvador,0.047619047619047616,1.0,0.058823529411764705,1.0,0.0,20.0
georgia,0.7058823529411765,0.41379310344827586,0.6185567010309279,12.0,17.0,5.0
guatemala,0.35294117647058826,0.35294117647058826,0.35294117647058826,6.0,11.0,11.0
hungary,0.9375,0.5,0.7978723404255319,15.0,15.0,1.0
india,0.2857142857142857,0.08695652173913043,0.19607843137254902,2.0,21.0,5.0
indonesia,0.09090909090909091,0.07142857142857142,0.08620689655172414,1.0,13.0,10.0
jamaica,0.45,0.6,0.47368421052631576,9.0,6.0,11.0
jordan,0.8,0.5454545454545454,0.7317073170731707,12.0,10.0,3.0
kazakhstan,0.4,0.25,0.35714285714285715,2.0,6.0,3.0
latvia,0.7777777777777778,0.7,0.7608695652173914,7.0,3.0,2.0
lithuania,0.5,0.2727272727272727,0.42857142857142855,3.0,8.0,3.0
macedonia,0.8888888888888888,0.8888888888888888,0.8888888888888888,8.0,1.0,1.0
mauritius,0.42857142857142855,0.10714285714285714,0.26785714285714285,3.0,25.0,4.0
mexico,0.6,0.7142857142857143,0.6198347107438017,15.0,6.0,10.0
morocco,0.5,0.5217391304347826,0.5042016806722689,12.0,11.0,12.0
pakistan,0.5625,0.782608695652174,0.5960264900662252,18.0,5.0,14.0
panama,0.375,0.5294117647058824,0.39823008849557523,9.0,8.0,15.0
paraguay,0.16666666666666666,0.18181818181818182,0.1694915254237288,2.0,9.0,10.0
peru,0.5641025641025641,0.6875,0.5851063829787234,22.0,10.0,17.0
philippines,0.37037037037037035,0.4,0.37593984962406013,10.0,15.0,17.0
poland,0.5384615384615384,0.3888888888888889,0.5,7.0,11.0,6.0
romania,0.5263157894736842,0.6666666666666666,0.5494505494505495,10.0,5.0,9.0
russia,0.6666666666666666,0.2,0.45454545454545453,4.0,16.0,2.0
serbia,0.5,0.2,0.38461538461538464,2.0,8.0,2.0
south-africa,0.3333333333333333,0.07142857142857142,0.19230769230769232,2.0,26.0,4.0
sri-lanka,0.6785714285714286,0.7037037037037037,0.6834532374100719,19.0,8.0,9.0
thailand,0.5714285714285714,0.19047619047619047,0.40816326530612246,4.0,17.0,3.0
tunisia,0.3333333333333333,0.19047619047619047,0.2898550724637681,4.0,17.0,8.0
turkey,0.2,0.2222222222222222,0.20408163265306123,4.0,14.0,16.0
ukraine,0.8,0.9230769230769231,0.821917808219178,12.0,1.0,3.0
uruguay,0.3333333333333333,0.75,0.375,9.0,3.0,18.0
venezuela,0.3333333333333333,0.09090909090909091,0.21739130434782608,1.0,10.0,2.0
vietnam,0.8333333333333334,0.23809523809523808,0.5555555555555556,5.0,16.0,1.0
aggregate,0.4885906040268456,0.41037204058624577,0.4706490819756918,364.0,523.0,381.0
