,recall,precision,fscore,tp,fp,fn
albania,1.0,0.55,0.859375,11.0,9.0,0.0
algeria,0.75,0.15789473684210525,0.42857142857142855,3.0,16.0,1.0
angola,1.0,0.13043478260869565,0.42857142857142855,3.0,20.0,0.0
argentina,0.5806451612903226,0.6666666666666666,0.5960264900662252,18.0,9.0,13.0
armenia,0.4,0.8,0.4444444444444444,4.0,1.0,6.0
azerbaijan,0.8571428571428571,0.46153846153846156,0.7317073170731707,6.0,7.0,1.0
belarus,0.5,0.14285714285714285,0.3333333333333333,1.0,6.0,1.0
bosnia-herzegovina,0.75,1.0,0.7894736842105263,6.0,0.0,2.0
brazil,0.5416666666666666,0.65,0.5603448275862069,13.0,7.0,11.0
bulgaria,0.6666666666666666,0.2857142857142857,0.5263157894736842,6.0,15.0,3.0
chile,0.16666666666666666,0.1875,0.17045454545454544,3.0,13.0,15.0
china,0.5,0.07142857142857142,0.22727272727272727,1.0,13.0,1.0
colombia,0.45454545454545453,0.625,0.4807692307692308,15.0,9.0,18.0
costa-rica,0.45,0.4090909090909091,0.4411764705882353,9.0,13.0,11.0
croatia,0.7142857142857143,0.45454545454545453,0.6410256410256411,5.0,6.0,2.0
dominican-republic,0.5,1.0,0.5555555555555556,6.0,0.0,6.0
ecuador,0.34782608695652173,0.42105263157894735,0.36036036036036034,8.0,11.0,15.0
egypt,0.6428571428571429,0.36,0.5555555555555556,9.0,16.0,5.0
el-salvador,0.19047619047619047,0.5,0.21739130434782608,4.0,4.0,17.0
georgia,0.6428571428571429,0.34615384615384615,0.5487804878048781,9.0,17.0,5.0
guatemala,0.29411764705882354,0.29411764705882354,0.29411764705882354,5.0,12.0,12.0
hungary,0.9375,0.5555555555555556,0.8241758241758241,15.0,12.0,1.0
india,0.2857142857142857,0.08695652173913043,0.19607843137254902,2.0,21.0,5.0
indonesia,0.09090909090909091,0.05,0.078125,1.0,19.0,10.0
jamaica,0.5909090909090909,0.6190476190476191,0.5963302752293578,13.0,8.0,9.0
jordan,0.7142857142857143,0.5,0.6578947368421053,10.0,10.0,4.0
kazakhstan,0.0,0.0,0.0,0.0,7.0,4.0
latvia,0.6,0.6,0.6,6.0,4.0,4.0
lithuania,0.8571428571428571,0.5454545454545454,0.7692307692307693,6.0,5.0,1.0
macedonia,0.8461538461538461,1.0,0.873015873015873,11.0,0.0,2.0
mauritius,0.42857142857142855,0.1111111111111111,0.2727272727272727,3.0,24.0,4.0
mexico,0.625,0.7142857142857143,0.6410256410256411,15.0,6.0,9.0
morocco,0.6538461538461539,0.5483870967741935,0.6296296296296297,17.0,14.0,9.0
pakistan,0.6470588235294118,0.7857142857142857,0.6707317073170732,22.0,6.0,12.0
panama,0.391304347826087,0.42857142857142855,0.39823008849557523,9.0,12.0,14.0
paraguay,0.16666666666666666,0.13333333333333333,0.15873015873015872,2.0,13.0,10.0
peru,0.5142857142857142,0.6428571428571429,0.5357142857142857,18.0,10.0,17.0
philippines,0.25925925925925924,0.3684210526315789,0.2755905511811024,7.0,12.0,20.0
poland,0.5714285714285714,0.38095238095238093,0.5194805194805194,8.0,13.0,6.0
romania,0.6,0.631578947368421,0.6060606060606061,12.0,7.0,8.0
russia,0.6666666666666666,0.21052631578947367,0.46511627906976744,4.0,15.0,2.0
serbia,0.8,0.2857142857142857,0.5882352941176471,4.0,10.0,1.0
south-africa,0.2,0.04,0.1111111111111111,1.0,24.0,4.0
sri-lanka,0.625,0.6,0.6198347107438017,15.0,10.0,9.0
thailand,0.5,0.14285714285714285,0.3333333333333333,3.0,18.0,3.0
tunisia,0.46153846153846156,0.25,0.39473684210526316,6.0,18.0,7.0
turkey,0.2857142857142857,0.375,0.3,6.0,10.0,15.0
ukraine,0.5384615384615384,1.0,0.5932203389830508,7.0,0.0,6.0
uruguay,0.3333333333333333,0.6428571428571429,0.36885245901639346,9.0,5.0,18.0
venezuela,0.3333333333333333,0.06666666666666667,0.18518518518518517,1.0,14.0,2.0
vietnam,0.875,0.2916666666666667,0.625,7.0,17.0,1.0
aggregate,0.5153949129852744,0.41264737406216506,0.4909461871971436,385.0,548.0,362.0
