,recall,precision,fscore,tp,fp,fn
albania,0.6,0.35294117647058826,0.5263157894736842,6.0,11.0,4.0
algeria,0.75,0.16666666666666666,0.4411764705882353,3.0,15.0,1.0
angola,0.0,0.0,0.0,0.0,17.0,2.0
argentina,0.6129032258064516,0.76,0.6375838926174496,19.0,6.0,12.0
armenia,0.1,1.0,0.12195121951219512,1.0,0.0,9.0
azerbaijan,0.0,0.0,0.0,0.0,7.0,4.0
belarus,0.5,0.2,0.38461538461538464,1.0,4.0,1.0
bosnia-herzegovina,0.4,0.6666666666666666,0.43478260869565216,2.0,1.0,3.0
brazil,0.5454545454545454,0.48,0.5309734513274337,12.0,13.0,10.0
bulgaria,0.6666666666666666,0.4444444444444444,0.6060606060606061,8.0,10.0,4.0
chile,0.2857142857142857,0.2222222222222222,0.2702702702702703,6.0,21.0,15.0
china,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
colombia,0.6052631578947368,0.71875,0.625,23.0,9.0,15.0
costa-rica,0.5238095238095238,0.4782608695652174,0.514018691588785,11.0,12.0,10.0
croatia,0.7142857142857143,0.4166666666666667,0.625,5.0,7.0,2.0
dominican-republic,0.5,1.0,0.5555555555555556,6.0,0.0,6.0
ecuador,0.36363636363636365,0.38095238095238093,0.3669724770642202,8.0,13.0,14.0
egypt,0.6875,0.34375,0.5729166666666666,11.0,21.0,5.0
el-salvador,0.22727272727272727,0.5,0.25510204081632654,5.0,5.0,17.0
georgia,0.8125,0.4482758620689655,0.6989247311827957,13.0,16.0,3.0
guatemala,0.4444444444444444,0.42105263157894735,0.43956043956043955,8.0,11.0,10.0
hungary,0.9230769230769231,0.5217391304347826,0.8,12.0,11.0,1.0
india,0.2857142857142857,0.07407407407407407,0.18181818181818182,2.0,25.0,5.0
indonesia,0.09090909090909091,0.047619047619047616,0.07692307692307693,1.0,20.0,10.0
jamaica,0.5652173913043478,0.7222222222222222,0.5909090909090909,13.0,5.0,10.0
jordan,0.7857142857142857,0.55,0.7236842105263158,11.0,9.0,3.0
kazakhstan,0.25,0.08333333333333333,0.17857142857142858,1.0,11.0,3.0
latvia,0.7692307692307693,0.7142857142857143,0.7575757575757576,10.0,4.0,3.0
lithuania,1.0,0.42105263157894735,0.7843137254901961,8.0,11.0,0.0
macedonia,0.8571428571428571,0.8571428571428571,0.8571428571428571,6.0,1.0,1.0
mauritius,0.2857142857142857,0.08,0.18867924528301888,2.0,23.0,5.0
mexico,0.7741935483870968,0.8275862068965517,0.7843137254901961,24.0,5.0,7.0
morocco,0.6071428571428571,0.5666666666666667,0.5985915492957746,17.0,13.0,11.0
pakistan,0.5625,0.782608695652174,0.5960264900662252,18.0,5.0,14.0
panama,0.4230769230769231,0.4583333333333333,0.4296875,11.0,13.0,15.0
paraguay,0.16666666666666666,0.15384615384615385,0.16393442622950818,2.0,11.0,10.0
peru,0.5405405405405406,0.6451612903225806,0.5586592178770949,20.0,11.0,17.0
philippines,0.4482758620689655,0.43333333333333335,0.4452054794520548,13.0,17.0,16.0
poland,0.36363636363636365,0.26666666666666666,0.3389830508474576,4.0,11.0,7.0
romania,0.47058823529411764,0.6153846153846154,0.49382716049382713,8.0,5.0,9.0
russia,0.6,0.15,0.375,3.0,17.0,2.0
serbia,0.75,0.375,0.625,3.0,5.0,1.0
south-africa,0.5,0.12121212121212122,0.3076923076923077,4.0,29.0,4.0
sri-lanka,0.6666666666666666,0.7272727272727273,0.6779661016949152,16.0,6.0,8.0
thailand,0.5,0.125,0.3125,3.0,21.0,3.0
tunisia,0.2727272727272727,0.12,0.21739130434782608,3.0,22.0,8.0
turkey,0.15789473684210525,0.14285714285714285,0.15463917525773196,3.0,18.0,16.0
ukraine,0.5882352941176471,0.8333333333333334,0.625,10.0,2.0,7.0
uruguay,0.48148148148148145,0.8125,0.5241935483870968,13.0,3.0,14.0
venezuela,0.5,0.1111111111111111,0.29411764705882354,2.0,16.0,2.0
vietnam,0.8,0.17391304347826086,0.46511627906976744,4.0,19.0,1.0
aggregate,0.523117569352708,0.4024390243902439,0.4935194416749751,396.0,588.0,361.0
