,recall,precision,fscore,tp,fp,fn
albania,1.0,0.5294117647058824,0.8490566037735849,9.0,8.0,0.0
algeria,0.5,0.09090909090909091,0.2631578947368421,2.0,20.0,2.0
angola,0.5,0.05555555555555555,0.19230769230769232,1.0,17.0,1.0
argentina,0.5,0.6363636363636364,0.5223880597014925,14.0,8.0,14.0
armenia,0.6153846153846154,0.7272727272727273,0.6349206349206349,8.0,3.0,5.0
azerbaijan,0.8,0.4,0.6666666666666666,4.0,6.0,1.0
belarus,1.0,0.2222222222222222,0.5882352941176471,2.0,7.0,0.0
bosnia-herzegovina,1.0,0.7777777777777778,0.9459459459459459,7.0,2.0,0.0
brazil,0.47619047619047616,0.5263157894736842,0.4854368932038835,10.0,9.0,11.0
bulgaria,0.9,0.45,0.75,9.0,11.0,1.0
chile,0.3684210526315789,0.25,0.33653846153846156,7.0,21.0,12.0
china,0.0,0.0,0.0,0.0,23.0,2.0
colombia,0.47058823529411764,0.5714285714285714,0.4878048780487805,16.0,12.0,18.0
costa-rica,0.45,0.3103448275862069,0.41284403669724773,9.0,20.0,11.0
croatia,0.8571428571428571,0.5,0.75,6.0,6.0,1.0
dominican-republic,0.4,1.0,0.45454545454545453,4.0,0.0,6.0
ecuador,0.43478260869565216,0.4,0.42735042735042733,10.0,15.0,13.0
egypt,0.5384615384615384,0.2692307692307692,0.44871794871794873,7.0,19.0,6.0
el-salvador,0.047619047619047616,0.25,0.056818181818181816,1.0,3.0,20.0
georgia,0.8695652173913043,0.6060606060606061,0.8,20.0,13.0,3.0
guatemala,0.47368421052631576,0.42857142857142855,0.4639175257731959,9.0,12.0,10.0
hungary,0.8888888888888888,0.5925925925925926,0.8080808080808081,16.0,11.0,2.0
india,0.42857142857142855,0.125,0.28846153846153844,3.0,21.0,4.0
indonesia,0.09090909090909091,0.05555555555555555,0.08064516129032258,1.0,17.0,10.0
jamaica,0.4117647058823529,0.5384615384615384,0.43209876543209874,7.0,6.0,10.0
jordan,0.7333333333333333,0.5789473684210527,0.6962025316455697,11.0,8.0,4.0
kazakhstan,0.6,0.1875,0.4166666666666667,3.0,13.0,2.0
latvia,0.7142857142857143,0.5882352941176471,0.684931506849315,10.0,7.0,4.0
lithuania,1.0,0.5,0.8333333333333334,8.0,8.0,0.0
macedonia,0.9,0.9,0.9,9.0,1.0,1.0
mauritius,0.2857142857142857,0.08333333333333333,0.19230769230769232,2.0,22.0,5.0
mexico,0.6666666666666666,0.7619047619047619,0.6837606837606838,16.0,5.0,8.0
morocco,0.5384615384615384,0.5,0.5303030303030303,14.0,14.0,12.0
pakistan,0.7058823529411765,0.8,0.7228915662650602,24.0,6.0,10.0
panama,0.34782608695652173,0.34782608695652173,0.34782608695652173,8.0,15.0,15.0
paraguay,0.09090909090909091,0.07692307692307693,0.08771929824561403,1.0,12.0,10.0
peru,0.5384615384615384,0.6363636363636364,0.5555555555555556,21.0,12.0,18.0
philippines,0.38461538461538464,0.4166666666666667,0.390625,10.0,14.0,16.0
poland,0.6666666666666666,0.47619047619047616,0.6172839506172839,10.0,11.0,5.0
romania,0.6111111111111112,0.6875,0.625,11.0,5.0,7.0
russia,0.6666666666666666,0.16666666666666666,0.4166666666666667,4.0,20.0,2.0
serbia,0.5,0.25,0.4166666666666667,2.0,6.0,2.0
south-africa,0.2,0.030303030303030304,0.09433962264150944,1.0,32.0,4.0
sri-lanka,0.7241379310344828,0.75,0.7291666666666666,21.0,7.0,8.0
thailand,0.3333333333333333,0.08333333333333333,0.20833333333333334,2.0,22.0,4.0
tunisia,0.2727272727272727,0.1111111111111111,0.2112676056338028,3.0,24.0,8.0
turkey,0.23809523809523808,0.3125,0.25,5.0,11.0,16.0
ukraine,0.6470588235294118,0.8461538461538461,0.6790123456790124,11.0,2.0,6.0
uruguay,0.28,0.7,0.3181818181818182,7.0,3.0,18.0
venezuela,0.8333333333333334,0.25,0.5681818181818182,5.0,15.0,1.0
vietnam,0.875,0.28,0.6140350877192983,7.0,18.0,1.0
aggregate,0.5382585751978892,0.4035608308605341,0.504575810042048,408.0,603.0,350.0
