,recall,precision,fscore,tp,fp,fn
albania,0.9166666666666666,0.4782608695652174,0.7746478873239436,11.0,12.0,1.0
algeria,1.0,0.2916666666666667,0.6730769230769231,7.0,17.0,0.0
angola,1.0,0.08,0.30303030303030304,2.0,23.0,0.0
argentina,0.6060606060606061,0.7407407407407407,0.6289308176100629,20.0,7.0,13.0
armenia,0.7,1.0,0.7446808510638298,7.0,0.0,3.0
azerbaijan,0.75,0.3333333333333333,0.6,3.0,6.0,1.0
belarus,0.0,0.0,0.0,0.0,10.0,2.0
bosnia-herzegovina,0.8888888888888888,0.6666666666666666,0.8333333333333334,8.0,4.0,1.0
brazil,0.5833333333333334,0.5,0.5645161290322581,14.0,14.0,10.0
bulgaria,0.6363636363636364,0.5,0.603448275862069,7.0,7.0,4.0
chile,0.42857142857142855,0.32142857142857145,0.4017857142857143,9.0,19.0,12.0
china,0.0,0.0,0.0,0.0,14.0,2.0
colombia,0.5555555555555556,0.6060606060606061,0.5649717514124294,20.0,13.0,16.0
costa-rica,0.5454545454545454,0.5454545454545454,0.5454545454545454,12.0,10.0,10.0
croatia,0.7142857142857143,0.29411764705882354,0.5555555555555556,5.0,12.0,2.0
dominican-republic,0.5,1.0,0.5555555555555556,6.0,0.0,6.0
ecuador,0.4583333333333333,0.5789473684210527,0.4782608695652174,11.0,8.0,13.0
egypt,0.6666666666666666,0.29411764705882354,0.5319148936170213,10.0,24.0,5.0
el-salvador,0.24,0.5454545454545454,0.2702702702702703,6.0,5.0,19.0
georgia,0.85,0.5151515151515151,0.7522123893805309,17.0,16.0,3.0
guatemala,0.4444444444444444,0.38095238095238093,0.43010752688172044,8.0,13.0,10.0
hungary,0.9333333333333333,0.5833333333333334,0.8333333333333334,14.0,10.0,1.0
india,0.2857142857142857,0.07407407407407407,0.18181818181818182,2.0,25.0,5.0
indonesia,0.4,0.23076923076923078,0.3488372093023256,6.0,20.0,9.0
jamaica,0.5238095238095238,0.55,0.5288461538461539,11.0,9.0,10.0
jordan,0.7647058823529411,0.5416666666666666,0.7065217391304348,13.0,11.0,4.0
kazakhstan,0.8,0.25,0.5555555555555556,4.0,12.0,1.0
latvia,0.7272727272727273,0.47058823529411764,0.6557377049180327,8.0,9.0,3.0
lithuania,0.3333333333333333,0.13333333333333333,0.2564102564102564,2.0,13.0,4.0
macedonia,0.8181818181818182,0.9,0.8333333333333334,9.0,1.0,2.0
mauritius,0.42857142857142855,0.10344827586206896,0.2631578947368421,3.0,26.0,4.0
mexico,0.8285714285714286,0.8285714285714286,0.8285714285714286,29.0,6.0,6.0
morocco,0.6666666666666666,0.5714285714285714,0.6451612903225806,20.0,15.0,10.0
pakistan,0.6176470588235294,0.8076923076923077,0.6481481481481481,21.0,5.0,13.0
panama,0.2857142857142857,0.3157894736842105,0.2912621359223301,6.0,13.0,15.0
paraguay,0.16666666666666666,0.11764705882352941,0.15384615384615385,2.0,15.0,10.0
peru,0.5277777777777778,0.7037037037037037,0.5555555555555556,19.0,8.0,17.0
philippines,0.4666666666666667,0.4666666666666667,0.4666666666666667,14.0,16.0,16.0
poland,0.6666666666666666,0.4166666666666667,0.5952380952380952,10.0,14.0,5.0
romania,0.631578947368421,0.6666666666666666,0.6382978723404256,12.0,6.0,7.0
russia,0.6666666666666666,0.17391304347826086,0.425531914893617,4.0,19.0,2.0
serbia,0.3333333333333333,0.1111111111111111,0.23809523809523808,1.0,8.0,2.0
south-africa,0.3333333333333333,0.06896551724137931,0.18867924528301888,2.0,27.0,4.0
sri-lanka,0.6923076923076923,0.782608695652174,0.7086614173228346,18.0,5.0,8.0
thailand,0.625,0.22727272727272727,0.46296296296296297,5.0,17.0,3.0
tunisia,0.36363636363636365,0.16,0.2898550724637681,4.0,21.0,7.0
turkey,0.2631578947368421,0.22727272727272727,0.25510204081632654,5.0,17.0,14.0
ukraine,0.8095238095238095,0.8947368421052632,0.8252427184466019,17.0,2.0,4.0
uruguay,0.4482758620689655,0.7222222222222222,0.48507462686567165,13.0,5.0,16.0
venezuela,0.5,0.08,0.24390243902439024,2.0,23.0,2.0
vietnam,0.8571428571428571,0.1875,0.5,6.0,26.0,1.0
aggregate,0.5790784557907845,0.4215775158658205,0.5388180764774044,465.0,638.0,338.0
