,recall,precision,fscore,tp,fp,fn
albania,0.7777777777777778,0.3333333333333333,0.6140350877192983,7.0,14.0,2.0
algeria,1.0,0.10714285714285714,0.375,3.0,25.0,0.0
angola,0.6666666666666666,0.06060606060606061,0.2222222222222222,2.0,31.0,1.0
argentina,0.7777777777777778,0.5384615384615384,0.7142857142857143,14.0,12.0,4.0
armenia,0.5,0.4,0.47619047619047616,4.0,6.0,4.0
azerbaijan,0.0,0.0,0.0,0.0,21.0,2.0
belarus,1.0,0.3125,0.6944444444444444,5.0,11.0,0.0
bosnia-herzegovina,1.0,0.8666666666666667,0.9701492537313433,13.0,2.0,0.0
brazil,0.7647058823529411,0.40625,0.65,13.0,19.0,4.0
bulgaria,0.8571428571428571,0.25,0.5769230769230769,6.0,18.0,1.0
chile,0.2727272727272727,0.11538461538461539,0.21428571428571427,3.0,23.0,8.0
china,0.0,0.0,0.0,0.0,35.0,2.0
colombia,0.6666666666666666,0.36363636363636365,0.5714285714285714,12.0,21.0,6.0
costa-rica,0.6363636363636364,0.23333333333333334,0.47297297297297297,7.0,23.0,4.0
croatia,1.0,0.2631578947368421,0.6410256410256411,5.0,14.0,0.0
dominican-republic,0.16666666666666666,1.0,0.2,1.0,0.0,5.0
ecuador,0.5333333333333333,0.42105263157894735,0.5063291139240507,8.0,11.0,7.0
egypt,0.5555555555555556,0.1724137931034483,0.38461538461538464,5.0,24.0,4.0
el-salvador,0.3333333333333333,0.3076923076923077,0.32786885245901637,4.0,9.0,8.0
georgia,1.0,0.4166666666666667,0.78125,10.0,14.0,0.0
guatemala,0.5454545454545454,0.2727272727272727,0.45454545454545453,6.0,16.0,5.0
hungary,1.0,0.3333333333333333,0.7142857142857143,11.0,22.0,0.0
india,0.4,0.058823529411764705,0.18518518518518517,2.0,32.0,3.0
indonesia,0.6666666666666666,0.1935483870967742,0.44776119402985076,6.0,25.0,3.0
jamaica,0.7333333333333333,0.5238095238095238,0.6790123456790124,11.0,10.0,4.0
jordan,1.0,0.5357142857142857,0.8522727272727273,15.0,13.0,0.0
kazakhstan,1.0,0.23809523809523808,0.6097560975609756,5.0,16.0,0.0
latvia,0.9285714285714286,0.5416666666666666,0.8125,13.0,11.0,1.0
lithuania,0.6666666666666666,0.09523809523809523,0.30303030303030304,2.0,19.0,1.0
macedonia,1.0,0.46153846153846156,0.8108108108108109,6.0,7.0,0.0
mauritius,0.3333333333333333,0.04,0.13513513513513514,1.0,24.0,2.0
mexico,0.8695652173913043,0.6666666666666666,0.819672131147541,20.0,10.0,3.0
morocco,0.6666666666666666,0.24242424242424243,0.49382716049382713,8.0,25.0,4.0
pakistan,0.76,0.6129032258064516,0.7251908396946565,19.0,12.0,6.0
panama,0.3333333333333333,0.23529411764705882,0.3076923076923077,4.0,13.0,8.0
paraguay,0.5,0.14814814814814814,0.3389830508474576,4.0,23.0,4.0
peru,0.42857142857142855,0.23076923076923078,0.36585365853658536,6.0,20.0,8.0
philippines,0.6842105263157895,0.4482758620689655,0.6190476190476191,13.0,16.0,6.0
poland,1.0,0.43333333333333335,0.7926829268292683,13.0,17.0,0.0
romania,0.8947368421052632,0.5666666666666667,0.8018867924528302,17.0,13.0,2.0
russia,0.875,0.20588235294117646,0.5303030303030303,7.0,27.0,1.0
serbia,0.8333333333333334,0.2631578947368421,0.5813953488372093,5.0,14.0,1.0
south-africa,0.5,0.09090909090909091,0.2631578947368421,3.0,30.0,3.0
sri-lanka,0.7222222222222222,0.52,0.6701030927835051,13.0,12.0,5.0
thailand,0.875,0.21875,0.546875,7.0,25.0,1.0
tunisia,0.4,0.06666666666666667,0.2,2.0,28.0,3.0
turkey,0.625,0.30303030303030304,0.5154639175257731,10.0,23.0,6.0
ukraine,0.9375,0.7894736842105263,0.9036144578313253,15.0,4.0,1.0
uruguay,0.7058823529411765,0.6,0.6818181818181818,12.0,8.0,5.0
venezuela,0.75,0.09375,0.3125,3.0,29.0,1.0
vietnam,0.8,0.10526315789473684,0.3448275862068966,4.0,34.0,1.0
aggregate,0.719626168224299,0.2970679012345679,0.560244470314319,385.0,911.0,150.0
