,recall,precision,fscore,tp,fp,fn
albania,1.0,0.4117647058823529,0.7777777777777778,7.0,10.0,0.0
algeria,1.0,0.2,0.5555555555555556,4.0,16.0,0.0
angola,1.0,0.08695652173913043,0.3225806451612903,2.0,21.0,0.0
argentina,0.6666666666666666,0.5217391304347826,0.631578947368421,12.0,11.0,6.0
armenia,0.42857142857142855,0.3333333333333333,0.40540540540540543,3.0,6.0,4.0
azerbaijan,0.5,0.08333333333333333,0.25,1.0,11.0,1.0
belarus,0.5,0.09090909090909091,0.2631578947368421,1.0,10.0,1.0
bosnia-herzegovina,0.75,0.6666666666666666,0.7317073170731707,6.0,3.0,2.0
brazil,0.7333333333333333,0.55,0.6875,11.0,9.0,4.0
bulgaria,0.5,0.09523809523809523,0.2702702702702703,2.0,19.0,2.0
chile,0.2,0.07142857142857142,0.14705882352941177,2.0,26.0,8.0
china,0.0,0.0,0.0,0.0,17.0,2.0
colombia,0.5384615384615384,0.2916666666666667,0.4605263157894737,7.0,17.0,6.0
costa-rica,0.5,0.20833333333333334,0.390625,5.0,19.0,5.0
croatia,1.0,0.5384615384615384,0.8536585365853658,7.0,6.0,0.0
dominican-republic,0.16666666666666666,0.3333333333333333,0.18518518518518517,1.0,2.0,5.0
ecuador,0.6153846153846154,0.3333333333333333,0.5263157894736842,8.0,16.0,5.0
egypt,0.7272727272727273,0.26666666666666666,0.5405405405405406,8.0,22.0,3.0
el-salvador,0.2,0.2222222222222222,0.20408163265306123,2.0,7.0,8.0
georgia,1.0,0.34615384615384615,0.7258064516129032,9.0,17.0,0.0
guatemala,0.7272727272727273,0.34782608695652173,0.5970149253731343,8.0,15.0,3.0
hungary,1.0,0.37037037037037035,0.746268656716418,10.0,17.0,0.0
india,0.25,0.04,0.12195121951219512,1.0,24.0,3.0
indonesia,0.0,0.0,0.0,0.0,21.0,4.0
jamaica,0.7142857142857143,0.4,0.6172839506172839,10.0,15.0,4.0
jordan,0.8333333333333334,0.5555555555555556,0.7575757575757576,10.0,8.0,2.0
kazakhstan,1.0,0.16666666666666666,0.5,2.0,10.0,0.0
latvia,0.25,0.16666666666666666,0.22727272727272727,1.0,5.0,3.0
lithuania,1.0,0.2222222222222222,0.5882352941176471,4.0,14.0,0.0
macedonia,1.0,0.8,0.9523809523809523,12.0,3.0,0.0
mauritius,0.0,0.0,0.0,0.0,20.0,3.0
mexico,0.8333333333333334,0.625,0.78125,15.0,9.0,3.0
morocco,0.7142857142857143,0.35714285714285715,0.5952380952380952,10.0,18.0,4.0
pakistan,0.5555555555555556,0.45454545454545453,0.5319148936170213,10.0,12.0,8.0
panama,0.45454545454545453,0.20833333333333334,0.36764705882352944,5.0,19.0,6.0
paraguay,0.3333333333333333,0.10526315789473684,0.23255813953488372,2.0,17.0,4.0
peru,0.5333333333333333,0.3333333333333333,0.47619047619047616,8.0,16.0,7.0
philippines,0.6428571428571429,0.375,0.5625,9.0,15.0,5.0
poland,0.7142857142857143,0.23809523809523808,0.5102040816326531,5.0,16.0,2.0
romania,0.5,0.38461538461538464,0.4716981132075472,5.0,8.0,5.0
russia,1.0,0.17857142857142858,0.5208333333333334,5.0,23.0,0.0
serbia,1.0,0.38461538461538464,0.7575757575757576,5.0,8.0,0.0
south-africa,0.25,0.037037037037037035,0.11627906976744186,1.0,26.0,3.0
sri-lanka,0.7727272727272727,0.68,0.7522123893805309,17.0,8.0,5.0
thailand,0.75,0.14285714285714285,0.40540540540540543,3.0,18.0,1.0
tunisia,0.6666666666666666,0.14814814814814814,0.39215686274509803,4.0,23.0,2.0
turkey,0.1111111111111111,0.05555555555555555,0.09259259259259259,1.0,17.0,8.0
ukraine,0.8,0.6666666666666666,0.7692307692307693,8.0,4.0,2.0
uruguay,0.625,0.5555555555555556,0.6097560975609756,10.0,8.0,6.0
venezuela,0.8,0.21052631578947367,0.5128205128205128,4.0,15.0,1.0
vietnam,0.8,0.15384615384615385,0.43478260869565216,4.0,22.0,1.0
aggregate,0.6463963963963963,0.2852882703777336,0.5158159597411934,287.0,719.0,157.0
