,recall,precision,fscore,tp,fp,fn
albania,0.9166666666666666,0.4782608695652174,0.7746478873239436,11.0,12.0,1.0
algeria,0.5,0.05555555555555555,0.19230769230769232,1.0,17.0,1.0
angola,1.0,0.17391304347826086,0.5128205128205128,4.0,19.0,0.0
argentina,0.7777777777777778,0.5185185185185185,0.7070707070707071,14.0,13.0,4.0
armenia,0.5714285714285714,0.2857142857142857,0.47619047619047616,4.0,10.0,3.0
azerbaijan,0.5,0.1,0.2777777777777778,1.0,9.0,1.0
belarus,0.0,0.0,0.0,0.0,10.0,2.0
bosnia-herzegovina,0.7142857142857143,0.7142857142857143,0.7142857142857143,5.0,2.0,2.0
brazil,0.7333333333333333,0.4782608695652174,0.6626506024096386,11.0,12.0,4.0
bulgaria,0.6,0.23076923076923078,0.45454545454545453,3.0,10.0,2.0
chile,0.2727272727272727,0.125,0.22058823529411764,3.0,21.0,8.0
china,0.5,0.08333333333333333,0.25,1.0,11.0,1.0
colombia,0.5714285714285714,0.32,0.49382716049382713,8.0,17.0,6.0
costa-rica,0.25,0.1111111111111111,0.2,2.0,16.0,6.0
croatia,1.0,0.375,0.75,6.0,10.0,0.0
dominican-republic,0.3333333333333333,0.5,0.35714285714285715,2.0,2.0,4.0
ecuador,0.5833333333333334,0.4375,0.546875,7.0,9.0,5.0
egypt,0.8,0.3076923076923077,0.6060606060606061,8.0,18.0,2.0
el-salvador,0.1,0.08333333333333333,0.09615384615384616,1.0,11.0,9.0
georgia,0.7,0.2916666666666667,0.546875,7.0,17.0,3.0
guatemala,0.5,0.2631578947368421,0.423728813559322,5.0,14.0,5.0
hungary,1.0,0.28,0.660377358490566,7.0,18.0,0.0
india,0.5,0.06896551724137931,0.2222222222222222,2.0,27.0,2.0
indonesia,0.0,0.0,0.0,0.0,27.0,4.0
jamaica,0.6153846153846154,0.36363636363636365,0.5405405405405406,8.0,14.0,5.0
jordan,0.7333333333333333,0.5238095238095238,0.6790123456790124,11.0,10.0,4.0
kazakhstan,0.6666666666666666,0.16666666666666666,0.4166666666666667,2.0,10.0,1.0
latvia,0.8571428571428571,0.375,0.6818181818181818,6.0,10.0,1.0
lithuania,1.0,0.15384615384615385,0.47619047619047616,2.0,11.0,0.0
macedonia,1.0,0.6666666666666666,0.9090909090909091,8.0,4.0,0.0
mauritius,0.3333333333333333,0.038461538461538464,0.13157894736842105,1.0,25.0,2.0
mexico,0.7777777777777778,0.6086956521739131,0.7368421052631579,14.0,9.0,4.0
morocco,0.6666666666666666,0.3333333333333333,0.5555555555555556,10.0,20.0,5.0
pakistan,0.5555555555555556,0.5,0.5434782608695652,10.0,10.0,8.0
panama,0.4166666666666667,0.2777777777777778,0.3787878787878788,5.0,13.0,7.0
paraguay,0.42857142857142855,0.15,0.3125,3.0,17.0,4.0
peru,0.5333333333333333,0.42105263157894735,0.5063291139240507,8.0,11.0,7.0
philippines,0.6428571428571429,0.391304347826087,0.569620253164557,9.0,14.0,5.0
poland,0.5714285714285714,0.2222222222222222,0.43478260869565216,4.0,14.0,3.0
romania,0.6,0.46153846153846156,0.5660377358490566,6.0,7.0,4.0
russia,0.8333333333333334,0.2777777777777778,0.5952380952380952,5.0,13.0,1.0
serbia,0.5,0.14285714285714285,0.3333333333333333,1.0,6.0,1.0
south-africa,0.4,0.06896551724137931,0.20408163265306123,2.0,27.0,3.0
sri-lanka,0.8,0.5925925925925926,0.7476635514018691,16.0,11.0,4.0
thailand,0.75,0.11538461538461539,0.35714285714285715,3.0,23.0,1.0
tunisia,0.4,0.08333333333333333,0.22727272727272727,2.0,22.0,3.0
turkey,0.2,0.10526315789473684,0.1694915254237288,2.0,17.0,8.0
ukraine,0.6666666666666666,0.5454545454545454,0.6382978723404256,6.0,5.0,3.0
uruguay,0.6666666666666666,0.7368421052631579,0.6796116504854369,14.0,5.0,7.0
venezuela,0.6,0.125,0.3409090909090909,3.0,21.0,2.0
vietnam,0.8333333333333334,0.14285714285714285,0.423728813559322,5.0,30.0,1.0
aggregate,0.6227678571428571,0.2818181818181818,0.5014378145219267,279.0,711.0,169.0
