,recall,precision,fscore,tp,fp,fn
albania,1.0,0.4,0.7692307692307693,6.0,9.0,0.0
algeria,0.5,0.043478260869565216,0.16129032258064516,1.0,22.0,1.0
angola,0.5,0.05555555555555555,0.19230769230769232,1.0,17.0,1.0
argentina,0.5625,0.47368421052631576,0.5421686746987951,9.0,10.0,7.0
armenia,0.3333333333333333,0.2222222222222222,0.30303030303030304,2.0,7.0,4.0
azerbaijan,0.6666666666666666,0.2222222222222222,0.47619047619047616,2.0,7.0,1.0
belarus,1.0,0.2222222222222222,0.5882352941176471,2.0,7.0,0.0
bosnia-herzegovina,1.0,0.7777777777777778,0.9459459459459459,7.0,2.0,0.0
brazil,0.6428571428571429,0.5,0.6081081081081081,9.0,9.0,5.0
bulgaria,0.8,0.26666666666666666,0.5714285714285714,4.0,11.0,1.0
chile,0.45454545454545453,0.17857142857142858,0.3472222222222222,5.0,23.0,6.0
china,0.0,0.0,0.0,0.0,23.0,2.0
colombia,0.4166666666666667,0.22727272727272727,0.35714285714285715,5.0,17.0,7.0
costa-rica,0.3333333333333333,0.10344827586206896,0.23076923076923078,3.0,26.0,6.0
croatia,0.8,0.3333333333333333,0.625,4.0,8.0,1.0
dominican-republic,0.3333333333333333,1.0,0.38461538461538464,2.0,0.0,4.0
ecuador,0.6153846153846154,0.2962962962962963,0.5063291139240507,8.0,19.0,5.0
egypt,0.5555555555555556,0.19230769230769232,0.4032258064516129,5.0,21.0,4.0
el-salvador,0.0,0.0,0.0,0.0,5.0,10.0
georgia,0.7692307692307693,0.43478260869565216,0.6666666666666666,10.0,13.0,3.0
guatemala,0.5454545454545454,0.3157894736842105,0.47619047619047616,6.0,13.0,5.0
hungary,1.0,0.48148148148148145,0.8227848101265823,13.0,14.0,0.0
india,0.5,0.07692307692307693,0.23809523809523808,2.0,24.0,2.0
indonesia,0.0,0.0,0.0,0.0,19.0,4.0
jamaica,0.4,0.36363636363636365,0.39215686274509803,4.0,7.0,6.0
jordan,0.7692307692307693,0.5263157894736842,0.704225352112676,10.0,9.0,3.0
kazakhstan,1.0,0.1875,0.5357142857142857,3.0,13.0,0.0
latvia,0.7777777777777778,0.4666666666666667,0.6862745098039216,7.0,8.0,2.0
lithuania,1.0,0.2,0.5555555555555556,3.0,12.0,0.0
macedonia,1.0,0.6,0.8823529411764706,6.0,4.0,0.0
mauritius,0.0,0.0,0.0,0.0,22.0,3.0
mexico,0.6428571428571429,0.47368421052631576,0.6,9.0,10.0,5.0
morocco,0.6153846153846154,0.2857142857142857,0.5,8.0,20.0,5.0
pakistan,0.6842105263157895,0.5652173913043478,0.6565656565656566,13.0,10.0,6.0
panama,0.5384615384615384,0.3181818181818182,0.47297297297297297,7.0,15.0,6.0
paraguay,0.2,0.07692307692307693,0.15151515151515152,1.0,12.0,4.0
peru,0.4666666666666667,0.3333333333333333,0.43209876543209874,7.0,14.0,8.0
philippines,0.6153846153846154,0.36363636363636365,0.5405405405405406,8.0,14.0,5.0
poland,0.5714285714285714,0.23529411764705882,0.4444444444444444,4.0,13.0,3.0
romania,0.4444444444444444,0.4,0.43478260869565216,4.0,6.0,5.0
russia,0.8,0.16666666666666666,0.45454545454545453,4.0,20.0,1.0
serbia,0.6666666666666666,0.2,0.45454545454545453,2.0,8.0,1.0
south-africa,0.25,0.030303030303030304,0.10204081632653061,1.0,32.0,3.0
sri-lanka,0.8095238095238095,0.6071428571428571,0.7589285714285714,17.0,11.0,4.0
thailand,0.5,0.08333333333333333,0.25,2.0,22.0,2.0
tunisia,0.6,0.1,0.3,3.0,27.0,2.0
turkey,0.2,0.14285714285714285,0.18518518518518517,2.0,12.0,8.0
ukraine,0.7,0.5384615384615384,0.660377358490566,7.0,6.0,3.0
uruguay,0.35714285714285715,0.5555555555555556,0.38461538461538464,5.0,4.0,9.0
venezuela,0.8333333333333334,0.25,0.5681818181818182,5.0,15.0,1.0
vietnam,0.8,0.16,0.4444444444444444,4.0,21.0,1.0
aggregate,0.5901639344262295,0.26666666666666666,0.47493403693931396,252.0,693.0,175.0
