,recall,precision,fscore,tp,fp,fn
albania,0.5,0.15384615384615385,0.3448275862068966,2.0,11.0,2.0
algeria,0.0,0.0,0.0,0.0,15.0,1.0
angola,0.5,0.05,0.17857142857142858,1.0,19.0,1.0
argentina,0.6153846153846154,0.25806451612903225,0.4819277108433735,8.0,23.0,5.0
armenia,0.0,0.0,0.0,0.0,8.0,3.0
azerbaijan,0.0,0.0,0.0,0.0,8.0,1.0
belarus,0.5,0.16666666666666666,0.35714285714285715,1.0,5.0,1.0
bosnia-herzegovina,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,1.0,1.0
brazil,0.6,0.3333333333333333,0.5172413793103449,6.0,12.0,4.0
bulgaria,0.3333333333333333,0.058823529411764705,0.1724137931034483,1.0,16.0,2.0
chile,0.42857142857142855,0.15789473684210525,0.3191489361702128,3.0,16.0,4.0
china,0.0,0.0,0.0,0.0,12.0,1.0
colombia,0.5714285714285714,0.18181818181818182,0.4,4.0,18.0,3.0
costa-rica,0.375,0.15,0.28846153846153844,3.0,17.0,5.0
croatia,1.0,0.45454545454545453,0.8064516129032258,5.0,6.0,0.0
dominican-republic,0.4,0.5,0.4166666666666667,2.0,2.0,3.0
ecuador,0.625,0.21739130434782608,0.45454545454545453,5.0,18.0,3.0
egypt,0.5,0.13043478260869565,0.3191489361702128,3.0,20.0,3.0
el-salvador,0.0,0.0,0.0,0.0,3.0,7.0
georgia,0.8333333333333334,0.19230769230769232,0.5,5.0,21.0,1.0
guatemala,0.2857142857142857,0.16666666666666666,0.25,2.0,10.0,5.0
hungary,0.875,0.28,0.6140350877192983,7.0,18.0,1.0
india,0.25,0.037037037037037035,0.11627906976744186,1.0,26.0,3.0
indonesia,0.0,0.0,0.0,0.0,19.0,3.0
jamaica,0.375,0.16666666666666666,0.3,3.0,15.0,5.0
jordan,0.7272727272727273,0.4444444444444444,0.6451612903225806,8.0,10.0,3.0
kazakhstan,0.0,0.0,0.0,0.0,7.0,1.0
latvia,0.8,0.36363636363636365,0.6451612903225806,4.0,7.0,1.0
lithuania,0.6666666666666666,0.2,0.45454545454545453,2.0,8.0,1.0
macedonia,0.5,0.25,0.4166666666666667,2.0,6.0,2.0
mauritius,0.0,0.0,0.0,0.0,26.0,2.0
mexico,0.6363636363636364,0.4117647058823529,0.5737704918032787,7.0,10.0,4.0
morocco,0.5555555555555556,0.20833333333333334,0.4166666666666667,5.0,19.0,4.0
pakistan,0.0,0.0,0.0,0.0,19.0,8.0
panama,0.625,0.22727272727272727,0.46296296296296297,5.0,17.0,3.0
paraguay,0.6,0.16666666666666666,0.39473684210526316,3.0,15.0,2.0
peru,0.7058823529411765,0.5,0.6521739130434783,12.0,12.0,5.0
philippines,0.42857142857142855,0.125,0.28846153846153844,3.0,21.0,4.0
poland,0.3333333333333333,0.05555555555555555,0.16666666666666666,1.0,17.0,2.0
romania,0.8181818181818182,0.47368421052631576,0.7142857142857143,9.0,10.0,2.0
russia,1.0,0.29411764705882354,0.6756756756756757,5.0,12.0,0.0
serbia,0.75,0.23076923076923078,0.5172413793103449,3.0,10.0,1.0
south-africa,0.5,0.07142857142857142,0.22727272727272727,2.0,26.0,2.0
sri-lanka,0.7272727272727273,0.32,0.5797101449275363,8.0,17.0,3.0
thailand,0.5,0.1111111111111111,0.29411764705882354,2.0,16.0,2.0
tunisia,0.8,0.15384615384615385,0.43478260869565216,4.0,22.0,1.0
turkey,0.2,0.06666666666666667,0.14285714285714285,1.0,14.0,4.0
ukraine,0.4,0.2857142857142857,0.37037037037037035,2.0,5.0,3.0
uruguay,0.0,0.0,0.0,0.0,9.0,7.0
venezuela,0.6666666666666666,0.125,0.35714285714285715,2.0,14.0,1.0
vietnam,0.8333333333333334,0.19230769230769232,0.5,5.0,21.0,1.0
aggregate,0.5371621621621622,0.18317972350230416,0.38742690058479534,159.0,709.0,137.0
