,recall,precision,fscore,tp,fp,fn
albania,0.8,0.36363636363636365,0.6451612903225806,4.0,7.0,1.0
algeria,1.0,0.05555555555555555,0.22727272727272727,1.0,17.0,0.0
angola,0.0,0.0,0.0,0.0,19.0,2.0
argentina,0.5454545454545454,0.2222222222222222,0.4225352112676056,6.0,21.0,5.0
armenia,0.0,0.0,0.0,0.0,6.0,3.0
azerbaijan,0.0,0.0,0.0,0.0,6.0,1.0
belarus,0.0,0.0,0.0,0.0,5.0,2.0
bosnia-herzegovina,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,1.0,1.0
brazil,0.7,0.3333333333333333,0.5737704918032787,7.0,14.0,3.0
bulgaria,0.3333333333333333,0.08333333333333333,0.20833333333333334,1.0,11.0,2.0
chile,0.5,0.17391304347826086,0.36363636363636365,4.0,19.0,4.0
china,0.0,0.0,0.0,0.0,14.0,1.0
colombia,0.5714285714285714,0.19047619047619047,0.40816326530612246,4.0,17.0,3.0
costa-rica,0.375,0.14285714285714285,0.2830188679245283,3.0,18.0,5.0
croatia,0.75,0.3,0.5769230769230769,3.0,7.0,1.0
dominican-republic,0.4,0.5,0.4166666666666667,2.0,2.0,3.0
ecuador,0.5714285714285714,0.19047619047619047,0.40816326530612246,4.0,17.0,3.0
egypt,0.75,0.25,0.5357142857142857,6.0,18.0,2.0
el-salvador,0.0,0.0,0.0,0.0,4.0,7.0
georgia,0.8571428571428571,0.2608695652173913,0.5882352941176471,6.0,17.0,1.0
guatemala,0.5,0.25,0.4166666666666667,4.0,12.0,4.0
hungary,0.875,0.2413793103448276,0.5737704918032787,7.0,22.0,1.0
india,0.25,0.03571428571428571,0.11363636363636363,1.0,27.0,3.0
indonesia,0.0,0.0,0.0,0.0,15.0,3.0
jamaica,0.375,0.16666666666666666,0.3,3.0,15.0,5.0
jordan,0.7,0.4375,0.625,7.0,9.0,3.0
kazakhstan,0.0,0.0,0.0,0.0,6.0,1.0
latvia,0.75,0.3,0.5769230769230769,3.0,7.0,1.0
lithuania,0.6666666666666666,0.2222222222222222,0.47619047619047616,2.0,7.0,1.0
macedonia,0.3333333333333333,0.16666666666666666,0.2777777777777778,1.0,5.0,2.0
mauritius,0.0,0.0,0.0,0.0,25.0,2.0
mexico,0.5,0.3333333333333333,0.45454545454545453,5.0,10.0,5.0
morocco,0.5555555555555556,0.19230769230769232,0.4032258064516129,5.0,21.0,4.0
pakistan,0.25,0.10526315789473684,0.19607843137254902,2.0,17.0,6.0
panama,0.625,0.2631578947368421,0.49019607843137253,5.0,14.0,3.0
paraguay,0.6,0.23076923076923078,0.45454545454545453,3.0,10.0,2.0
peru,0.7222222222222222,0.5416666666666666,0.6770833333333334,13.0,11.0,5.0
philippines,0.5,0.18181818181818182,0.37037037037037035,4.0,18.0,4.0
poland,0.3333333333333333,0.05555555555555555,0.16666666666666666,1.0,17.0,2.0
romania,0.8181818181818182,0.45,0.703125,9.0,11.0,2.0
russia,1.0,0.23529411764705882,0.6060606060606061,4.0,13.0,0.0
serbia,0.6666666666666666,0.3333333333333333,0.5555555555555556,2.0,4.0,1.0
south-africa,0.5,0.06896551724137931,0.2222222222222222,2.0,27.0,2.0
sri-lanka,0.75,0.36,0.6164383561643836,9.0,16.0,3.0
thailand,0.5,0.1,0.2777777777777778,2.0,18.0,2.0
tunisia,0.8333333333333334,0.2,0.5102040816326531,5.0,20.0,1.0
turkey,0.3333333333333333,0.10526315789473684,0.23255813953488372,2.0,17.0,4.0
ukraine,0.6,0.3333333333333333,0.5172413793103449,3.0,6.0,2.0
uruguay,0.14285714285714285,0.125,0.1388888888888889,1.0,7.0,6.0
venezuela,0.0,0.0,0.0,0.0,11.0,3.0
vietnam,0.8,0.15384615384615385,0.43478260869565216,4.0,22.0,1.0
aggregate,0.5472972972972973,0.19239904988123516,0.3998025666337611,162.0,680.0,134.0
