,recall,precision,fscore,tp,fp,fn
albania,1.0,0.2857142857142857,0.6666666666666666,4.0,10.0,0.0
algeria,1.0,0.047619047619047616,0.2,1.0,20.0,0.0
angola,1.0,0.13043478260869565,0.42857142857142855,3.0,20.0,0.0
argentina,0.45454545454545453,0.1724137931034483,0.3424657534246575,5.0,24.0,6.0
armenia,0.0,0.0,0.0,0.0,6.0,3.0
azerbaijan,0.0,0.0,0.0,0.0,10.0,1.0
belarus,0.5,0.14285714285714285,0.3333333333333333,1.0,6.0,1.0
bosnia-herzegovina,0.6666666666666666,0.5,0.625,2.0,2.0,1.0
brazil,0.6363636363636364,0.3888888888888889,0.5645161290322581,7.0,11.0,4.0
bulgaria,0.6666666666666666,0.10526315789473684,0.3225806451612903,2.0,17.0,1.0
chile,0.2857142857142857,0.13333333333333333,0.23255813953488372,2.0,13.0,5.0
china,0.0,0.0,0.0,0.0,16.0,1.0
colombia,0.5,0.13043478260869565,0.3191489361702128,3.0,20.0,3.0
costa-rica,0.375,0.125,0.26785714285714285,3.0,21.0,5.0
croatia,1.0,0.36363636363636365,0.7407407407407407,4.0,7.0,0.0
dominican-republic,0.4,0.5,0.4166666666666667,2.0,2.0,3.0
ecuador,0.625,0.23809523809523808,0.4716981132075472,5.0,16.0,3.0
egypt,0.6666666666666666,0.16,0.40816326530612246,4.0,21.0,2.0
el-salvador,0.14285714285714285,0.125,0.1388888888888889,1.0,7.0,6.0
georgia,0.8333333333333334,0.18518518518518517,0.49019607843137253,5.0,22.0,1.0
guatemala,0.2857142857142857,0.13333333333333333,0.23255813953488372,2.0,13.0,5.0
hungary,0.875,0.2692307692307692,0.603448275862069,7.0,19.0,1.0
india,0.25,0.04,0.12195121951219512,1.0,24.0,3.0
indonesia,0.0,0.0,0.0,0.0,22.0,3.0
jamaica,0.5,0.21052631578947367,0.39215686274509803,4.0,15.0,4.0
jordan,0.7777777777777778,0.3684210526315789,0.6363636363636364,7.0,12.0,2.0
kazakhstan,0.0,0.0,0.0,0.0,10.0,1.0
latvia,0.8,0.4,0.6666666666666666,4.0,6.0,1.0
lithuania,1.0,0.3,0.6818181818181818,3.0,7.0,0.0
macedonia,0.75,0.3333333333333333,0.6,3.0,6.0,1.0
mauritius,0.0,0.0,0.0,0.0,26.0,2.0
mexico,0.6363636363636364,0.4375,0.5833333333333334,7.0,9.0,4.0
morocco,0.7,0.25,0.5147058823529411,7.0,21.0,3.0
pakistan,0.125,0.05,0.09615384615384616,1.0,19.0,7.0
panama,0.625,0.23809523809523808,0.4716981132075472,5.0,16.0,3.0
paraguay,0.5,0.13333333333333333,0.3225806451612903,2.0,13.0,2.0
peru,0.6875,0.4782608695652174,0.632183908045977,11.0,12.0,5.0
philippines,0.5,0.2,0.38461538461538464,4.0,16.0,4.0
poland,0.3333333333333333,0.05,0.15625,1.0,19.0,2.0
romania,0.9166666666666666,0.5238095238095238,0.7971014492753623,11.0,10.0,1.0
russia,1.0,0.21052631578947367,0.5714285714285714,4.0,15.0,0.0
serbia,0.75,0.21428571428571427,0.5,3.0,11.0,1.0
south-africa,0.3333333333333333,0.04,0.13513513513513514,1.0,24.0,2.0
sri-lanka,0.7272727272727273,0.32,0.5797101449275363,8.0,17.0,3.0
thailand,0.3333333333333333,0.047619047619047616,0.15151515151515152,1.0,20.0,2.0
tunisia,0.8333333333333334,0.2,0.5102040816326531,5.0,20.0,1.0
turkey,0.3333333333333333,0.125,0.25,2.0,14.0,4.0
ukraine,0.4,0.5,0.4166666666666667,2.0,2.0,3.0
uruguay,0.14285714285714285,0.09090909090909091,0.1282051282051282,1.0,10.0,6.0
venezuela,0.3333333333333333,0.06666666666666667,0.18518518518518517,1.0,14.0,2.0
vietnam,0.8333333333333334,0.19230769230769232,0.5,5.0,21.0,1.0
aggregate,0.571917808219178,0.1853496115427303,0.4035766070565491,167.0,734.0,125.0
