,recall,precision,fscore,tp,fp,fn
austria,1.0,0.07142857142857142,0.2777777777777778,2.0,26.0,0.0
belgium,1.0,0.07692307692307693,0.29411764705882354,2.0,24.0,0.0
bulgaria,0.0,0.0,0.0,0.0,15.0,1.0
cyprus,1.0,0.21428571428571427,0.5769230769230769,6.0,22.0,0.0
czechia,0.0,0.0,0.0,0.0,15.0,1.0
germany,0.7142857142857143,0.5,0.6578947368421053,5.0,5.0,2.0
denmark,0.5,0.07692307692307693,0.23809523809523808,1.0,12.0,1.0
estonia,0.0,0.0,0.0,0.0,16.0,3.0
spain,0.5,0.05555555555555555,0.19230769230769232,1.0,17.0,1.0
finland,1.0,0.21428571428571427,0.5769230769230769,6.0,22.0,0.0
france,1.0,0.20833333333333334,0.5681818181818182,5.0,19.0,0.0
greece,1.0,0.15384615384615385,0.47619047619047616,4.0,22.0,0.0
croatia,0.0,0.0,0.0,0.0,5.0,2.0
hungary,1.0,0.09090909090909091,0.3333333333333333,2.0,20.0,0.0
ireland,1.0,0.08823529411764706,0.32608695652173914,3.0,31.0,0.0
italy,1.0,0.3076923076923077,0.6896551724137931,8.0,18.0,0.0
lithuania,0.5,0.1111111111111111,0.29411764705882354,1.0,8.0,1.0
luxembourg,1.0,0.11538461538461539,0.39473684210526316,3.0,23.0,0.0
latvia,1.0,0.23076923076923078,0.6,3.0,10.0,0.0
netherlands,1.0,0.1,0.35714285714285715,2.0,18.0,0.0
norway,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
poland,0.0,0.0,0.0,0.0,13.0,2.0
portugal,0.5,0.05,0.17857142857142858,1.0,19.0,1.0
romania,0.75,0.21428571428571427,0.5,3.0,11.0,1.0
sweden,1.0,0.18518518518518517,0.5319148936170213,5.0,22.0,0.0
slovenia,0.5,0.0625,0.20833333333333334,1.0,15.0,1.0
united-kingdom,0.875,0.28,0.6140350877192983,7.0,18.0,1.0
aggregate,0.8043478260869565,0.13653136531365315,0.4065934065934066,74.0,468.0,18.0
