,recall,precision,fscore,tp,fp,fn
austria,1.0,0.07142857142857142,0.2777777777777778,2.0,26.0,0.0
belgium,1.0,0.08,0.30303030303030304,2.0,23.0,0.0
bulgaria,0.0,0.0,0.0,0.0,15.0,1.0
cyprus,1.0,0.2,0.5555555555555556,6.0,24.0,0.0
czechia,0.0,0.0,0.0,0.0,16.0,1.0
germany,0.7142857142857143,0.4166666666666667,0.625,5.0,7.0,2.0
denmark,0.5,0.07692307692307693,0.23809523809523808,1.0,12.0,1.0
estonia,0.0,0.0,0.0,0.0,15.0,3.0
spain,0.5,0.058823529411764705,0.2,1.0,16.0,1.0
finland,1.0,0.2222222222222222,0.5882352941176471,6.0,21.0,0.0
france,1.0,0.23809523809523808,0.6097560975609756,5.0,16.0,0.0
greece,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
croatia,0.0,0.0,0.0,0.0,5.0,2.0
hungary,1.0,0.13636363636363635,0.4411764705882353,3.0,19.0,0.0
ireland,1.0,0.125,0.4166666666666667,4.0,28.0,0.0
italy,1.0,0.3333333333333333,0.7142857142857143,8.0,16.0,0.0
lithuania,1.0,0.18181818181818182,0.5263157894736842,2.0,9.0,0.0
luxembourg,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
latvia,1.0,0.23076923076923078,0.6,3.0,10.0,0.0
netherlands,1.0,0.10526315789473684,0.37037037037037035,2.0,17.0,0.0
norway,1.0,0.125,0.4166666666666667,3.0,21.0,0.0
poland,0.0,0.0,0.0,0.0,11.0,2.0
portugal,0.5,0.045454545454545456,0.16666666666666666,1.0,21.0,1.0
romania,0.5,0.16666666666666666,0.35714285714285715,2.0,10.0,2.0
sweden,1.0,0.16666666666666666,0.5,5.0,25.0,0.0
slovenia,0.0,0.0,0.0,0.0,15.0,2.0
united-kingdom,0.875,0.25925925925925924,0.5932203389830508,7.0,20.0,1.0
aggregate,0.7956989247311828,0.13805970149253732,0.40748898678414097,74.0,462.0,19.0
