,recall,precision,fscore,tp,fp,fn
austria,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
belgium,0.0,0.0,0.0,0.0,23.0,1.0
bulgaria,0.0,0.0,0.0,0.0,30.0,1.0
cyprus,1.0,0.13333333333333333,0.43478260869565216,4.0,26.0,0.0
czechia,0.0,0.0,0.0,0.0,33.0,1.0
germany,0.8333333333333334,0.19230769230769232,0.5,5.0,21.0,1.0
denmark,1.0,0.26666666666666666,0.6451612903225806,4.0,11.0,0.0
estonia,1.0,0.24,0.6122448979591837,6.0,19.0,0.0
spain,0.8888888888888888,0.25806451612903225,0.5970149253731343,8.0,23.0,1.0
finland,1.0,0.2413793103448276,0.6140350877192983,7.0,22.0,0.0
france,1.0,0.35714285714285715,0.7352941176470589,10.0,18.0,0.0
greece,1.0,0.14705882352941177,0.46296296296296297,5.0,29.0,0.0
croatia,0.5,0.1,0.2777777777777778,1.0,9.0,1.0
hungary,1.0,0.15384615384615385,0.47619047619047616,4.0,22.0,0.0
ireland,1.0,0.1875,0.5357142857142857,6.0,26.0,0.0
italy,1.0,0.17142857142857143,0.5084745762711864,6.0,29.0,0.0
lithuania,1.0,0.3888888888888889,0.7608695652173914,7.0,11.0,0.0
luxembourg,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
latvia,1.0,0.34615384615384615,0.7258064516129032,9.0,17.0,0.0
netherlands,1.0,0.13333333333333333,0.43478260869565216,4.0,26.0,0.0
norway,1.0,0.16666666666666666,0.5,4.0,20.0,0.0
poland,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
portugal,1.0,0.23809523809523808,0.6097560975609756,5.0,16.0,0.0
romania,0.8,0.18181818181818182,0.47619047619047616,4.0,18.0,1.0
sweden,1.0,0.36,0.7377049180327869,9.0,16.0,0.0
slovenia,1.0,0.3125,0.6944444444444444,5.0,11.0,0.0
united-kingdom,0.9333333333333333,0.4117647058823529,0.7446808510638298,14.0,20.0,1.0
aggregate,0.9361702127659575,0.18992805755395684,0.5242255758538522,132.0,563.0,9.0
