,recall,precision,fscore,tp,fp,fn
austria,1.0,0.1111111111111111,0.38461538461538464,3.0,24.0,0.0
belgium,1.0,0.07142857142857142,0.2777777777777778,2.0,26.0,0.0
bulgaria,1.0,0.0625,0.25,1.0,15.0,0.0
cyprus,1.0,0.2,0.5555555555555556,6.0,24.0,0.0
czechia,0.0,0.0,0.0,0.0,24.0,1.0
germany,0.7142857142857143,0.2777777777777778,0.5434782608695652,5.0,13.0,2.0
denmark,1.0,0.2,0.5555555555555556,3.0,12.0,0.0
estonia,0.6666666666666666,0.09523809523809523,0.30303030303030304,2.0,19.0,1.0
spain,0.5,0.041666666666666664,0.15625,1.0,23.0,1.0
finland,1.0,0.1875,0.5357142857142857,6.0,26.0,0.0
france,1.0,0.2631578947368421,0.6410256410256411,5.0,14.0,0.0
greece,1.0,0.13333333333333333,0.43478260869565216,4.0,26.0,0.0
croatia,0.0,0.0,0.0,0.0,10.0,2.0
hungary,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
ireland,1.0,0.08823529411764706,0.32608695652173914,3.0,31.0,0.0
italy,1.0,0.2692307692307692,0.6481481481481481,7.0,19.0,0.0
lithuania,0.0,0.0,0.0,0.0,13.0,2.0
luxembourg,1.0,0.08823529411764706,0.32608695652173914,3.0,31.0,0.0
latvia,0.6666666666666666,0.11764705882352941,0.3448275862068966,2.0,15.0,1.0
netherlands,1.0,0.09090909090909091,0.3333333333333333,2.0,20.0,0.0
norway,1.0,0.14285714285714285,0.45454545454545453,4.0,24.0,0.0
poland,0.0,0.0,0.0,0.0,12.0,2.0
portugal,0.5,0.045454545454545456,0.16666666666666666,1.0,21.0,1.0
romania,1.0,0.29411764705882354,0.6756756756756757,5.0,12.0,0.0
sweden,1.0,0.1935483870967742,0.5454545454545454,6.0,25.0,0.0
slovenia,0.0,0.0,0.0,0.0,15.0,2.0
united-kingdom,0.875,0.28,0.6140350877192983,7.0,18.0,1.0
aggregate,0.8229166666666666,0.12929623567921442,0.3969849246231156,79.0,532.0,17.0
