,recall,precision,fscore,tp,fp,fn
austria,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
belgium,1.0,0.08695652173913043,0.3225806451612903,2.0,21.0,0.0
bulgaria,1.0,0.05555555555555555,0.22727272727272727,1.0,17.0,0.0
cyprus,1.0,0.16,0.4878048780487805,4.0,21.0,0.0
czechia,0.0,0.0,0.0,0.0,22.0,1.0
germany,0.6666666666666666,0.2857142857142857,0.5263157894736842,4.0,10.0,2.0
denmark,1.0,0.125,0.4166666666666667,2.0,14.0,0.0
estonia,0.6666666666666666,0.09523809523809523,0.30303030303030304,2.0,19.0,1.0
spain,0.5,0.05,0.17857142857142858,1.0,19.0,1.0
finland,1.0,0.15151515151515152,0.4716981132075472,5.0,28.0,0.0
france,1.0,0.2608695652173913,0.6382978723404256,6.0,17.0,0.0
greece,1.0,0.16216216216216217,0.4918032786885246,6.0,31.0,0.0
croatia,1.0,0.2,0.5555555555555556,2.0,8.0,0.0
hungary,1.0,0.16666666666666666,0.5,3.0,15.0,0.0
ireland,1.0,0.14705882352941177,0.46296296296296297,5.0,29.0,0.0
italy,1.0,0.25,0.625,6.0,18.0,0.0
lithuania,0.5,0.06666666666666667,0.21739130434782608,1.0,14.0,1.0
luxembourg,1.0,0.10714285714285714,0.375,3.0,25.0,0.0
latvia,0.6666666666666666,0.14285714285714285,0.38461538461538464,2.0,12.0,1.0
netherlands,1.0,0.1111111111111111,0.38461538461538464,2.0,16.0,0.0
norway,1.0,0.12903225806451613,0.425531914893617,4.0,27.0,0.0
poland,0.0,0.0,0.0,0.0,16.0,2.0
portugal,0.8,0.18181818181818182,0.47619047619047616,4.0,18.0,1.0
romania,1.0,0.3,0.6818181818181818,6.0,14.0,0.0
sweden,1.0,0.19230769230769232,0.5434782608695652,5.0,21.0,0.0
slovenia,0.0,0.0,0.0,0.0,12.0,2.0
united-kingdom,0.8888888888888888,0.2857142857142857,0.625,8.0,20.0,1.0
aggregate,0.87,0.1467116357504216,0.4380664652567976,87.0,506.0,13.0
