,recall,precision,fscore,tp,fp,fn
argentina,0.8333333333333334,0.3333333333333333,0.6410256410256411,5.0,10.0,1.0
bolivia,1.0,0.09090909090909091,0.3333333333333333,1.0,10.0,0.0
brazil,0.6,0.2727272727272727,0.4838709677419355,3.0,8.0,2.0
chile,0.0,0.0,0.0,0.0,9.0,1.0
colombia,1.0,0.1,0.35714285714285715,1.0,9.0,0.0
denmark,1.0,0.07692307692307693,0.29411764705882354,1.0,12.0,0.0
finland,1.0,0.17647058823529413,0.5172413793103449,3.0,14.0,0.0
indonesia,0.0,0.0,0.0,0.0,11.0,1.0
israel,1.0,0.08333333333333333,0.3125,1.0,11.0,0.0
malaysia,0.0,0.0,0.0,0.0,9.0,1.0
mexico,0.6666666666666666,0.2222222222222222,0.47619047619047616,2.0,7.0,1.0
norway,1.0,0.23076923076923078,0.6,3.0,10.0,0.0
peru,1.0,0.25,0.625,4.0,12.0,0.0
philippines,0.0,0.0,0.0,0.0,9.0,1.0
spain,0.0,0.0,0.0,0.0,11.0,1.0
sweden,1.0,0.2777777777777778,0.6578947368421053,5.0,13.0,0.0
thailand,0.5,0.07142857142857142,0.22727272727272727,1.0,13.0,1.0
turkey,1.0,0.46153846153846156,0.8108108108108109,6.0,7.0,0.0
uruguay,0.0,0.0,0.0,0.0,6.0,1.0
venezuela,0.0,0.0,0.0,0.0,9.0,1.0
aggregate,0.75,0.15254237288135594,0.4205607476635514,36.0,200.0,12.0
