,recall,precision,fscore,tp,fp,fn
argentina,0.8333333333333334,0.38461538461538464,0.6756756756756757,5.0,8.0,1.0
bolivia,1.0,0.07692307692307693,0.29411764705882354,1.0,12.0,0.0
brazil,1.0,0.5,0.8333333333333334,6.0,6.0,0.0
chile,0.0,0.0,0.0,0.0,11.0,1.0
colombia,1.0,0.1111111111111111,0.38461538461538464,1.0,8.0,0.0
denmark,1.0,0.21428571428571427,0.5769230769230769,3.0,11.0,0.0
finland,1.0,0.2857142857142857,0.6666666666666666,4.0,10.0,0.0
indonesia,1.0,0.1,0.35714285714285715,1.0,9.0,0.0
israel,1.0,0.07692307692307693,0.29411764705882354,1.0,12.0,0.0
malaysia,1.0,0.08333333333333333,0.3125,1.0,11.0,0.0
mexico,0.5,0.125,0.3125,1.0,7.0,1.0
norway,1.0,0.2727272727272727,0.6521739130434783,3.0,8.0,0.0
peru,1.0,0.3333333333333333,0.7142857142857143,4.0,8.0,0.0
philippines,0.0,0.0,0.0,0.0,7.0,1.0
spain,0.0,0.0,0.0,0.0,6.0,1.0
sweden,1.0,0.2631578947368421,0.6410256410256411,5.0,14.0,0.0
thailand,0.6666666666666666,0.13333333333333333,0.37037037037037035,2.0,13.0,1.0
turkey,1.0,0.5,0.8333333333333334,5.0,5.0,0.0
uruguay,0.0,0.0,0.0,0.0,10.0,1.0
venezuela,0.0,0.0,0.0,0.0,11.0,1.0
aggregate,0.8431372549019608,0.18695652173913044,0.49539170506912444,43.0,187.0,8.0
