,recall,precision,fscore,tp,fp,fn
argentina,0.5,0.18181818181818182,0.37037037037037035,2.0,9.0,2.0
bolivia,1.0,0.23076923076923078,0.6,3.0,10.0,0.0
brazil,0.8,0.2857142857142857,0.5882352941176471,4.0,10.0,1.0
chile,0.0,0.0,0.0,0.0,15.0,1.0
colombia,1.0,0.07692307692307693,0.29411764705882354,1.0,12.0,0.0
denmark,0.0,0.0,0.0,0.0,5.0,1.0
finland,1.0,0.07692307692307693,0.29411764705882354,1.0,12.0,0.0
indonesia,1.0,0.05555555555555555,0.22727272727272727,1.0,17.0,0.0
israel,1.0,0.14285714285714285,0.45454545454545453,2.0,12.0,0.0
malaysia,1.0,0.21428571428571427,0.5769230769230769,3.0,11.0,0.0
mexico,0.5,0.125,0.3125,1.0,7.0,1.0
norway,1.0,0.14285714285714285,0.45454545454545453,2.0,12.0,0.0
peru,1.0,0.21428571428571427,0.5769230769230769,3.0,11.0,0.0
philippines,0.0,0.0,0.0,0.0,14.0,1.0
spain,0.0,0.0,0.0,0.0,12.0,1.0
sweden,1.0,0.2,0.5555555555555556,3.0,12.0,0.0
thailand,0.6666666666666666,0.16666666666666666,0.4166666666666667,2.0,10.0,1.0
turkey,1.0,0.16666666666666666,0.5,2.0,10.0,0.0
uruguay,0.0,0.0,0.0,0.0,13.0,1.0
venezuela,0.0,0.0,0.0,0.0,10.0,1.0
aggregate,0.7317073170731707,0.11811023622047244,0.3588516746411483,30.0,224.0,11.0
