,recall,precision,fscore,tp,fp,fn
argentina,0.6666666666666666,0.2857142857142857,0.5263157894736842,4.0,10.0,2.0
bolivia,1.0,0.1111111111111111,0.38461538461538464,2.0,16.0,0.0
brazil,0.7142857142857143,0.35714285714285715,0.5952380952380952,5.0,9.0,2.0
chile,1.0,0.18181818181818182,0.5263157894736842,2.0,9.0,0.0
colombia,1.0,0.0625,0.25,1.0,15.0,0.0
denmark,1.0,0.15384615384615385,0.47619047619047616,2.0,11.0,0.0
finland,1.0,0.3684210526315789,0.7446808510638298,7.0,12.0,0.0
indonesia,1.0,0.06666666666666667,0.2631578947368421,1.0,14.0,0.0
israel,1.0,0.2,0.5555555555555556,3.0,12.0,0.0
malaysia,1.0,0.047619047619047616,0.2,1.0,20.0,0.0
mexico,1.0,0.4166666666666667,0.78125,5.0,7.0,0.0
norway,1.0,0.1875,0.5357142857142857,3.0,13.0,0.0
peru,1.0,0.05263157894736842,0.21739130434782608,1.0,18.0,0.0
philippines,0.0,0.0,0.0,0.0,19.0,1.0
spain,0.0,0.0,0.0,0.0,16.0,1.0
sweden,1.0,0.45,0.8035714285714286,9.0,11.0,0.0
thailand,0.75,0.16666666666666666,0.4411764705882353,3.0,15.0,1.0
turkey,1.0,0.08333333333333333,0.3125,2.0,22.0,0.0
uruguay,0.0,0.0,0.0,0.0,13.0,1.0
venezuela,0.0,0.0,0.0,0.0,14.0,1.0
aggregate,0.85,0.1559633027522936,0.4497354497354497,51.0,276.0,9.0
