,recall,precision,fscore,tp,fp,fn
argentina,0.6666666666666666,0.3076923076923077,0.5405405405405406,4.0,9.0,2.0
bolivia,1.0,0.26666666666666666,0.6451612903225806,4.0,11.0,0.0
brazil,1.0,0.5,0.8333333333333334,8.0,8.0,0.0
chile,0.0,0.0,0.0,0.0,12.0,1.0
colombia,0.0,0.0,0.0,0.0,8.0,1.0
denmark,1.0,0.0625,0.25,1.0,15.0,0.0
finland,1.0,0.2631578947368421,0.6410256410256411,5.0,14.0,0.0
indonesia,1.0,0.1,0.35714285714285715,1.0,9.0,0.0
israel,1.0,0.1,0.35714285714285715,1.0,9.0,0.0
malaysia,1.0,0.058823529411764705,0.23809523809523808,1.0,16.0,0.0
mexico,1.0,0.25,0.625,2.0,6.0,0.0
norway,1.0,0.05,0.20833333333333334,1.0,19.0,0.0
peru,1.0,0.17647058823529413,0.5172413793103449,3.0,14.0,0.0
philippines,0.0,0.0,0.0,0.0,13.0,1.0
spain,0.0,0.0,0.0,0.0,18.0,1.0
sweden,1.0,0.22727272727272727,0.5952380952380952,5.0,17.0,0.0
thailand,0.5,0.1,0.2777777777777778,1.0,9.0,1.0
turkey,1.0,0.38461538461538464,0.7575757575757576,5.0,8.0,0.0
uruguay,0.0,0.0,0.0,0.0,8.0,1.0
venezuela,0.0,0.0,0.0,0.0,8.0,1.0
aggregate,0.8235294117647058,0.15384615384615385,0.44025157232704404,42.0,231.0,9.0
