,recall,precision,fscore,tp,fp,fn
argentina,0.6666666666666666,0.4,0.5882352941176471,4.0,6.0,2.0
bolivia,1.0,0.25,0.625,3.0,9.0,0.0
brazil,1.0,0.5714285714285714,0.8695652173913043,8.0,6.0,0.0
chile,0.0,0.0,0.0,0.0,8.0,1.0
colombia,1.0,0.2,0.5555555555555556,2.0,8.0,0.0
denmark,1.0,0.13333333333333333,0.43478260869565216,2.0,13.0,0.0
finland,1.0,0.2777777777777778,0.6578947368421053,5.0,13.0,0.0
indonesia,1.0,0.2857142857142857,0.6666666666666666,2.0,5.0,0.0
israel,1.0,0.1111111111111111,0.38461538461538464,1.0,8.0,0.0
malaysia,0.0,0.0,0.0,0.0,9.0,1.0
mexico,0.5,0.1111111111111111,0.29411764705882354,1.0,8.0,1.0
norway,1.0,0.1111111111111111,0.38461538461538464,2.0,16.0,0.0
peru,1.0,0.2857142857142857,0.6666666666666666,4.0,10.0,0.0
philippines,0.0,0.0,0.0,0.0,11.0,1.0
spain,0.0,0.0,0.0,0.0,13.0,1.0
sweden,1.0,0.2631578947368421,0.6410256410256411,5.0,14.0,0.0
thailand,0.6666666666666666,0.13333333333333333,0.37037037037037035,2.0,13.0,1.0
turkey,1.0,0.5,0.8333333333333334,4.0,4.0,0.0
uruguay,0.0,0.0,0.0,0.0,1.0,1.0
venezuela,0.0,0.0,0.0,0.0,8.0,1.0
aggregate,0.8181818181818182,0.19736842105263158,0.5022321428571429,45.0,183.0,10.0
