,recall,precision,fscore,tp,fp,fn
argentina,0.8571428571428571,0.46153846153846156,0.7317073170731707,6.0,7.0,1.0
bolivia,1.0,0.2777777777777778,0.6578947368421053,5.0,13.0,0.0
brazil,0.7142857142857143,0.35714285714285715,0.5952380952380952,5.0,9.0,2.0
chile,0.0,0.0,0.0,0.0,11.0,1.0
colombia,1.0,0.07142857142857142,0.2777777777777778,1.0,13.0,0.0
denmark,1.0,0.06666666666666667,0.2631578947368421,1.0,14.0,0.0
finland,1.0,0.22727272727272727,0.5952380952380952,5.0,17.0,0.0
indonesia,1.0,0.13333333333333333,0.43478260869565216,2.0,13.0,0.0
israel,1.0,0.08333333333333333,0.3125,1.0,11.0,0.0
malaysia,1.0,0.11764705882352941,0.4,2.0,15.0,0.0
mexico,0.75,0.2727272727272727,0.5555555555555556,3.0,8.0,1.0
norway,1.0,0.15789473684210525,0.4838709677419355,3.0,16.0,0.0
peru,1.0,0.2857142857142857,0.6666666666666666,4.0,10.0,0.0
philippines,0.0,0.0,0.0,0.0,16.0,1.0
spain,0.0,0.0,0.0,0.0,13.0,1.0
sweden,1.0,0.21052631578947367,0.5714285714285714,4.0,15.0,0.0
thailand,0.75,0.16666666666666666,0.4411764705882353,3.0,15.0,1.0
turkey,1.0,0.42857142857142855,0.7894736842105263,6.0,8.0,0.0
uruguay,0.0,0.0,0.0,0.0,6.0,1.0
venezuela,0.0,0.0,0.0,0.0,13.0,1.0
aggregate,0.8360655737704918,0.17346938775510204,0.4739776951672863,51.0,243.0,10.0
