,recall,precision,fscore,tp,fp,fn
australia,1.0,0.10344827586206896,0.36585365853658536,3.0,26.0,0.0
austria,1.0,0.16,0.4878048780487805,4.0,21.0,0.0
belgium,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
canada,1.0,0.12121212121212122,0.40816326530612246,4.0,29.0,0.0
denmark,0.8,0.26666666666666666,0.5714285714285714,4.0,11.0,1.0
finland,1.0,0.13793103448275862,0.4444444444444444,4.0,25.0,0.0
france,1.0,0.24,0.6122448979591837,6.0,19.0,0.0
germany,0.8,0.11764705882352941,0.37037037037037035,4.0,30.0,1.0
greece,1.0,0.2692307692307692,0.6481481481481481,7.0,19.0,0.0
iceland,1.0,0.16666666666666666,0.5,4.0,20.0,0.0
ireland,1.0,0.14285714285714285,0.45454545454545453,4.0,24.0,0.0
italy,1.0,0.36,0.7377049180327869,9.0,16.0,0.0
japan,1.0,0.18181818181818182,0.5263157894736842,6.0,27.0,0.0
netherlands,1.0,0.13793103448275862,0.4444444444444444,4.0,25.0,0.0
new-zealand,0.6666666666666666,0.08,0.2702702702702703,2.0,23.0,1.0
norway,1.0,0.22727272727272727,0.5952380952380952,5.0,17.0,0.0
portugal,1.0,0.13636363636363635,0.4411764705882353,3.0,19.0,0.0
spain,0.8333333333333334,0.20833333333333334,0.5208333333333334,5.0,19.0,1.0
sweden,1.0,0.3103448275862069,0.6923076923076923,9.0,20.0,0.0
switzerland,1.0,0.10714285714285714,0.375,3.0,25.0,0.0
turkey,1.0,0.3793103448275862,0.7534246575342466,11.0,18.0,0.0
united-kingdom,0.8571428571428571,0.4444444444444444,0.7228915662650602,12.0,15.0,2.0
united-states,0.8,0.25,0.5555555555555556,4.0,12.0,1.0
aggregate,0.9457364341085271,0.2026578073089701,0.5456171735241503,122.0,480.0,7.0
