,recall,precision,fscore,tp,fp,fn
australia,1.0,0.07407407407407407,0.2857142857142857,2.0,25.0,0.0
austria,1.0,0.037037037037037035,0.16129032258064516,1.0,26.0,0.0
belgium,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
canada,1.0,0.06451612903225806,0.2564102564102564,2.0,29.0,0.0
denmark,0.5,0.07692307692307693,0.23809523809523808,1.0,12.0,1.0
finland,1.0,0.07692307692307693,0.29411764705882354,2.0,24.0,0.0
france,1.0,0.16666666666666666,0.5,5.0,25.0,0.0
germany,0.6666666666666666,0.08333333333333333,0.2777777777777778,2.0,22.0,1.0
greece,1.0,0.23809523809523808,0.6097560975609756,5.0,16.0,0.0
iceland,1.0,0.17391304347826086,0.5128205128205128,4.0,19.0,0.0
ireland,1.0,0.0967741935483871,0.3488372093023256,3.0,28.0,0.0
italy,0.5,0.058823529411764705,0.2,1.0,16.0,1.0
japan,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
netherlands,1.0,0.1,0.35714285714285715,2.0,18.0,0.0
new-zealand,1.0,0.34615384615384615,0.7258064516129032,9.0,17.0,0.0
norway,1.0,0.16,0.4878048780487805,4.0,21.0,0.0
portugal,1.0,0.045454545454545456,0.19230769230769232,1.0,21.0,0.0
spain,0.75,0.15,0.4166666666666667,3.0,17.0,1.0
sweden,1.0,0.17391304347826086,0.5128205128205128,4.0,19.0,0.0
switzerland,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
turkey,0.8181818181818182,0.4090909090909091,0.6818181818181818,9.0,13.0,2.0
united-kingdom,0.875,0.3888888888888889,0.7,7.0,11.0,1.0
united-states,1.0,0.5555555555555556,0.8620689655172413,5.0,4.0,0.0
aggregate,0.9166666666666666,0.1441947565543071,0.4425287356321839,77.0,457.0,7.0
