,recall,precision,fscore,tp,fp,fn
australia,1.0,0.13793103448275862,0.4444444444444444,4.0,25.0,0.0
austria,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
belgium,1.0,0.06896551724137931,0.2702702702702703,2.0,27.0,0.0
canada,1.0,0.08333333333333333,0.3125,3.0,33.0,0.0
denmark,0.5,0.09090909090909091,0.2631578947368421,1.0,10.0,1.0
finland,1.0,0.08333333333333333,0.3125,2.0,22.0,0.0
france,1.0,0.17857142857142858,0.5208333333333334,5.0,23.0,0.0
germany,0.75,0.10714285714285714,0.3409090909090909,3.0,25.0,1.0
greece,1.0,0.2,0.5555555555555556,4.0,16.0,0.0
iceland,1.0,0.2903225806451613,0.6716417910447762,9.0,22.0,0.0
ireland,1.0,0.125,0.4166666666666667,4.0,28.0,0.0
italy,0.5,0.058823529411764705,0.2,1.0,16.0,1.0
japan,1.0,0.11538461538461539,0.39473684210526316,3.0,23.0,0.0
netherlands,1.0,0.1111111111111111,0.38461538461538464,2.0,16.0,0.0
new-zealand,1.0,0.2608695652173913,0.6382978723404256,6.0,17.0,0.0
norway,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
portugal,1.0,0.17391304347826086,0.5128205128205128,4.0,19.0,0.0
spain,0.75,0.17647058823529413,0.45454545454545453,3.0,14.0,1.0
sweden,1.0,0.13043478260869565,0.42857142857142855,3.0,20.0,0.0
switzerland,1.0,0.06666666666666667,0.2631578947368421,2.0,28.0,0.0
turkey,0.8,0.2962962962962963,0.5970149253731343,8.0,19.0,2.0
united-kingdom,0.9,0.42857142857142855,0.7377049180327869,9.0,12.0,1.0
united-states,1.0,0.375,0.75,6.0,10.0,0.0
aggregate,0.9278350515463918,0.16071428571428573,0.47468354430379744,90.0,470.0,7.0
