,recall,precision,fscore,tp,fp,fn
australia,1.0,0.1,0.35714285714285715,3.0,27.0,0.0
austria,1.0,0.034482758620689655,0.15151515151515152,1.0,28.0,0.0
belgium,1.0,0.10714285714285714,0.375,3.0,25.0,0.0
canada,1.0,0.07894736842105263,0.3,3.0,35.0,0.0
denmark,1.0,0.25,0.625,9.0,27.0,0.0
finland,1.0,0.125,0.4166666666666667,3.0,21.0,0.0
france,1.0,0.3076923076923077,0.6896551724137931,8.0,18.0,0.0
germany,0.75,0.14285714285714285,0.40540540540540543,3.0,18.0,1.0
greece,1.0,0.058823529411764705,0.23809523809523808,1.0,16.0,0.0
iceland,0.0,0.0,0.0,0.0,26.0,1.0
ireland,1.0,0.1891891891891892,0.5384615384615384,7.0,30.0,0.0
italy,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
japan,0.8333333333333334,0.21739130434782608,0.5319148936170213,5.0,18.0,1.0
luxembourg,1.0,0.2222222222222222,0.5882352941176471,6.0,21.0,0.0
netherlands,1.0,0.25,0.625,6.0,18.0,0.0
new-zealand,1.0,0.25,0.625,6.0,18.0,0.0
norway,1.0,0.18518518518518517,0.5319148936170213,5.0,22.0,0.0
portugal,1.0,0.05,0.20833333333333334,1.0,19.0,0.0
spain,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
sweden,1.0,0.25925925925925924,0.6363636363636364,7.0,20.0,0.0
switzerland,1.0,0.2962962962962963,0.6779661016949152,8.0,19.0,0.0
turkey,1.0,0.125,0.4166666666666667,2.0,14.0,0.0
united-kingdom,1.0,0.22727272727272727,0.5952380952380952,5.0,17.0,0.0
united-states,0.875,0.6363636363636364,0.813953488372093,7.0,4.0,1.0
aggregate,0.9537037037037037,0.16996699669966997,0.49614643545279385,103.0,503.0,5.0
