,recall,precision,fscore,tp,fp,fn
australia,1.0,0.1,0.35714285714285715,3.0,27.0,0.0
austria,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
belgium,1.0,0.14814814814814814,0.46511627906976744,4.0,23.0,0.0
canada,1.0,0.07894736842105263,0.3,3.0,35.0,0.0
denmark,1.0,0.23684210526315788,0.6081081081081081,9.0,29.0,0.0
finland,1.0,0.13043478260869565,0.42857142857142855,3.0,20.0,0.0
france,1.0,0.2962962962962963,0.6779661016949152,8.0,19.0,0.0
germany,0.75,0.15,0.4166666666666667,3.0,17.0,1.0
greece,1.0,0.05,0.20833333333333334,1.0,19.0,0.0
iceland,1.0,0.12903225806451613,0.425531914893617,4.0,27.0,0.0
ireland,1.0,0.17647058823529413,0.5172413793103449,6.0,28.0,0.0
italy,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
japan,0.75,0.15,0.4166666666666667,3.0,17.0,1.0
luxembourg,1.0,0.25,0.625,6.0,18.0,0.0
netherlands,1.0,0.23809523809523808,0.6097560975609756,5.0,16.0,0.0
new-zealand,1.0,0.23076923076923078,0.6,6.0,20.0,0.0
norway,1.0,0.19230769230769232,0.5434782608695652,5.0,21.0,0.0
portugal,1.0,0.09090909090909091,0.3333333333333333,2.0,20.0,0.0
spain,1.0,0.13636363636363635,0.4411764705882353,3.0,19.0,0.0
sweden,1.0,0.25925925925925924,0.6363636363636364,7.0,20.0,0.0
switzerland,1.0,0.25925925925925924,0.6363636363636364,7.0,20.0,0.0
turkey,1.0,0.09090909090909091,0.3333333333333333,2.0,20.0,0.0
united-kingdom,1.0,0.17391304347826086,0.5128205128205128,4.0,19.0,0.0
united-states,0.9166666666666666,0.6111111111111112,0.8333333333333334,11.0,7.0,1.0
aggregate,0.963963963963964,0.17398373983739837,0.5051935788479698,107.0,508.0,4.0
