,recall,precision,fscore,tp,fp,fn
australia,1.0,0.0967741935483871,0.3488372093023256,3.0,28.0,0.0
austria,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
belgium,1.0,0.1,0.35714285714285715,3.0,27.0,0.0
canada,1.0,0.08571428571428572,0.3191489361702128,3.0,32.0,0.0
denmark,1.0,0.17142857142857143,0.5084745762711864,6.0,29.0,0.0
finland,1.0,0.13333333333333333,0.43478260869565216,4.0,26.0,0.0
france,1.0,0.3333333333333333,0.7142857142857143,8.0,16.0,0.0
germany,0.75,0.13636363636363635,0.39473684210526316,3.0,19.0,1.0
greece,1.0,0.08695652173913043,0.3225806451612903,2.0,21.0,0.0
iceland,1.0,0.058823529411764705,0.23809523809523808,2.0,32.0,0.0
ireland,1.0,0.23076923076923078,0.6,9.0,30.0,0.0
italy,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
japan,0.875,0.2916666666666667,0.625,7.0,17.0,1.0
luxembourg,1.0,0.23333333333333334,0.603448275862069,7.0,23.0,0.0
netherlands,1.0,0.3076923076923077,0.6896551724137931,8.0,18.0,0.0
new-zealand,1.0,0.18518518518518517,0.5319148936170213,5.0,22.0,0.0
norway,1.0,0.2,0.5555555555555556,6.0,24.0,0.0
portugal,1.0,0.16666666666666666,0.5,4.0,20.0,0.0
spain,1.0,0.17391304347826086,0.5128205128205128,4.0,19.0,0.0
sweden,1.0,0.25,0.625,7.0,21.0,0.0
switzerland,1.0,0.25,0.625,7.0,21.0,0.0
turkey,1.0,0.09523809523809523,0.3448275862068966,2.0,19.0,0.0
united-kingdom,1.0,0.21739130434782608,0.5813953488372093,5.0,18.0,0.0
united-states,0.6666666666666666,0.375,0.5769230769230769,6.0,10.0,3.0
aggregate,0.9495798319327731,0.17384615384615384,0.5017761989342806,113.0,537.0,6.0
