,recall,precision,fscore,tp,fp,fn
australia,1.0,0.12121212121212122,0.40816326530612246,4.0,29.0,0.0
austria,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
belgium,1.0,0.12903225806451613,0.425531914893617,4.0,27.0,0.0
canada,1.0,0.075,0.28846153846153844,3.0,37.0,0.0
denmark,1.0,0.29411764705882354,0.6756756756756757,10.0,24.0,0.0
finland,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
france,1.0,0.25925925925925924,0.6363636363636364,7.0,20.0,0.0
germany,0.75,0.125,0.375,3.0,21.0,1.0
greece,1.0,0.041666666666666664,0.17857142857142858,1.0,23.0,0.0
iceland,1.0,0.17142857142857143,0.5084745762711864,6.0,29.0,0.0
ireland,1.0,0.23684210526315788,0.6081081081081081,9.0,29.0,0.0
italy,0.5,0.05263157894736842,0.18518518518518517,1.0,18.0,1.0
japan,1.0,0.25,0.625,6.0,18.0,0.0
luxembourg,1.0,0.14285714285714285,0.45454545454545453,4.0,24.0,0.0
netherlands,1.0,0.3333333333333333,0.7142857142857143,8.0,16.0,0.0
new-zealand,1.0,0.18518518518518517,0.5319148936170213,5.0,22.0,0.0
norway,1.0,0.14814814814814814,0.46511627906976744,4.0,23.0,0.0
portugal,1.0,0.14285714285714285,0.45454545454545453,3.0,18.0,0.0
spain,1.0,0.15,0.46875,3.0,17.0,0.0
sweden,1.0,0.25,0.625,6.0,18.0,0.0
switzerland,1.0,0.26666666666666666,0.6451612903225806,8.0,22.0,0.0
turkey,1.0,0.07407407407407407,0.2857142857142857,2.0,25.0,0.0
united-kingdom,1.0,0.21739130434782608,0.5813953488372093,5.0,18.0,0.0
united-states,0.9,0.42857142857142855,0.7377049180327869,9.0,12.0,1.0
aggregate,0.9745762711864406,0.17638036809815952,0.5115658362989324,115.0,537.0,3.0
