,recall,precision,fscore,tp,fp,fn
australia,1.0,0.07407407407407407,0.2857142857142857,2.0,25.0,0.0
austria,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
belgium,1.0,0.043478260869565216,0.18518518518518517,1.0,22.0,0.0
canada,1.0,0.10344827586206896,0.36585365853658536,3.0,26.0,0.0
denmark,0.5,0.1,0.2777777777777778,1.0,9.0,1.0
finland,1.0,0.21428571428571427,0.5769230769230769,6.0,22.0,0.0
france,1.0,0.1111111111111111,0.38461538461538464,2.0,16.0,0.0
germany,0.75,0.21428571428571427,0.5,3.0,11.0,1.0
greece,1.0,0.14285714285714285,0.45454545454545453,3.0,18.0,0.0
iceland,0.75,0.14285714285714285,0.40540540540540543,3.0,18.0,1.0
ireland,1.0,0.125,0.4166666666666667,4.0,28.0,0.0
italy,0.5,0.0625,0.20833333333333334,1.0,15.0,1.0
japan,1.0,0.16,0.4878048780487805,4.0,21.0,0.0
netherlands,1.0,0.10526315789473684,0.37037037037037035,2.0,17.0,0.0
new-zealand,1.0,0.3181818181818182,0.7,7.0,15.0,0.0
norway,1.0,0.16666666666666666,0.5,4.0,20.0,0.0
portugal,1.0,0.05,0.20833333333333334,1.0,19.0,0.0
spain,0.0,0.0,0.0,0.0,16.0,2.0
sweden,1.0,0.14285714285714285,0.45454545454545453,4.0,24.0,0.0
switzerland,1.0,0.08333333333333333,0.3125,2.0,22.0,0.0
turkey,0.625,0.3125,0.5208333333333334,5.0,11.0,3.0
united-kingdom,0.8888888888888888,0.4444444444444444,0.7407407407407407,8.0,10.0,1.0
united-states,1.0,0.42857142857142855,0.7894736842105263,6.0,8.0,0.0
aggregate,0.8795180722891566,0.14807302231237324,0.44242424242424244,73.0,420.0,10.0
