,recall,precision,fscore,tp,fp,fn
australia,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
austria,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
belgium,1.0,0.037037037037037035,0.16129032258064516,1.0,26.0,0.0
canada,1.0,0.1,0.35714285714285715,3.0,27.0,0.0
denmark,0.5,0.1,0.2777777777777778,1.0,9.0,1.0
finland,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
france,1.0,0.08695652173913043,0.3225806451612903,2.0,21.0,0.0
germany,0.75,0.17647058823529413,0.45454545454545453,3.0,14.0,1.0
greece,1.0,0.16666666666666666,0.5,4.0,20.0,0.0
iceland,1.0,0.12,0.40540540540540543,3.0,22.0,0.0
ireland,1.0,0.14705882352941177,0.46296296296296297,5.0,29.0,0.0
italy,0.5,0.05555555555555555,0.19230769230769232,1.0,17.0,1.0
japan,1.0,0.1111111111111111,0.38461538461538464,3.0,24.0,0.0
netherlands,1.0,0.15,0.46875,3.0,17.0,0.0
new-zealand,1.0,0.24,0.6122448979591837,6.0,19.0,0.0
norway,1.0,0.25,0.625,8.0,24.0,0.0
portugal,1.0,0.125,0.4166666666666667,3.0,21.0,0.0
spain,0.0,0.0,0.0,0.0,24.0,2.0
sweden,0.8,0.14285714285714285,0.4166666666666667,4.0,24.0,1.0
switzerland,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
turkey,0.625,0.2777777777777778,0.5,5.0,13.0,3.0
united-kingdom,0.875,0.3333333333333333,0.660377358490566,7.0,14.0,1.0
united-states,1.0,0.4166666666666667,0.78125,5.0,7.0,0.0
aggregate,0.8823529411764706,0.13837638376383765,0.42517006802721086,75.0,467.0,10.0
