,recall,precision,fscore,tp,fp,fn
australia,1.0,0.09090909090909091,0.3333333333333333,2.0,20.0,0.0
austria,1.0,0.041666666666666664,0.17857142857142858,1.0,23.0,0.0
belgium,1.0,0.043478260869565216,0.18518518518518517,1.0,22.0,0.0
canada,1.0,0.0967741935483871,0.3488372093023256,3.0,28.0,0.0
denmark,0.5,0.1,0.2777777777777778,1.0,9.0,1.0
finland,1.0,0.17857142857142858,0.5208333333333334,5.0,23.0,0.0
france,1.0,0.1875,0.5357142857142857,3.0,13.0,0.0
germany,0.75,0.13636363636363635,0.39473684210526316,3.0,19.0,1.0
greece,1.0,0.13636363636363635,0.4411764705882353,3.0,19.0,0.0
iceland,1.0,0.18518518518518517,0.5319148936170213,5.0,22.0,0.0
ireland,1.0,0.10714285714285714,0.375,3.0,25.0,0.0
italy,0.5,0.0625,0.20833333333333334,1.0,15.0,1.0
japan,1.0,0.17391304347826086,0.5128205128205128,4.0,19.0,0.0
netherlands,1.0,0.13636363636363635,0.4411764705882353,3.0,19.0,0.0
new-zealand,1.0,0.37037037037037035,0.746268656716418,10.0,17.0,0.0
norway,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
portugal,1.0,0.09523809523809523,0.3448275862068966,2.0,19.0,0.0
spain,0.0,0.0,0.0,0.0,16.0,2.0
sweden,1.0,0.17857142857142858,0.5208333333333334,5.0,23.0,0.0
switzerland,1.0,0.08,0.30303030303030304,2.0,23.0,0.0
turkey,0.5714285714285714,0.3333333333333333,0.5,4.0,8.0,3.0
united-kingdom,0.8888888888888888,0.4,0.7142857142857143,8.0,12.0,1.0
united-states,1.0,0.5555555555555556,0.8620689655172413,5.0,4.0,0.0
aggregate,0.8977272727272727,0.158953722334004,0.4652532391048292,79.0,418.0,9.0
