,recall,precision,fscore,tp,fp,fn
australia,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
austria,1.0,0.038461538461538464,0.16666666666666666,1.0,25.0,0.0
belgium,1.0,0.047619047619047616,0.2,1.0,20.0,0.0
canada,1.0,0.09375,0.3409090909090909,3.0,29.0,0.0
denmark,0.5,0.08333333333333333,0.25,1.0,11.0,1.0
finland,1.0,0.14705882352941177,0.46296296296296297,5.0,29.0,0.0
france,0.6666666666666666,0.1111111111111111,0.3333333333333333,2.0,16.0,1.0
germany,0.6666666666666666,0.11764705882352941,0.3448275862068966,2.0,15.0,1.0
greece,1.0,0.1724137931034483,0.5102040816326531,5.0,24.0,0.0
iceland,1.0,0.2903225806451613,0.6716417910447762,9.0,22.0,0.0
ireland,1.0,0.125,0.4166666666666667,4.0,28.0,0.0
italy,0.5,0.058823529411764705,0.2,1.0,16.0,1.0
japan,1.0,0.11538461538461539,0.39473684210526316,3.0,23.0,0.0
netherlands,1.0,0.1111111111111111,0.38461538461538464,2.0,16.0,0.0
new-zealand,1.0,0.2608695652173913,0.6382978723404256,6.0,17.0,0.0
norway,1.0,0.23076923076923078,0.6,6.0,20.0,0.0
portugal,1.0,0.17391304347826086,0.5128205128205128,4.0,19.0,0.0
spain,0.0,0.0,0.0,0.0,18.0,2.0
sweden,1.0,0.15384615384615385,0.47619047619047616,4.0,22.0,0.0
switzerland,1.0,0.06666666666666667,0.2631578947368421,2.0,28.0,0.0
turkey,0.8888888888888888,0.34782608695652173,0.6779661016949152,8.0,15.0,1.0
united-kingdom,0.9,0.42857142857142855,0.7377049180327869,9.0,12.0,1.0
united-states,1.0,0.375,0.75,6.0,10.0,0.0
aggregate,0.9139784946236559,0.1559633027522936,0.46346782988004365,85.0,460.0,8.0
