,recall,precision,fscore,tp,fp,fn
australia,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
austria,1.0,0.034482758620689655,0.15151515151515152,1.0,28.0,0.0
belgium,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
canada,1.0,0.029411764705882353,0.13157894736842105,1.0,33.0,0.0
denmark,1.0,0.25,0.625,8.0,24.0,0.0
finland,1.0,0.25925925925925924,0.6363636363636364,7.0,20.0,0.0
france,0.8571428571428571,0.375,0.6818181818181818,6.0,10.0,1.0
germany,0.75,0.42857142857142855,0.6521739130434783,6.0,8.0,2.0
greece,1.0,0.041666666666666664,0.17857142857142858,1.0,23.0,0.0
iceland,0.0,0.0,0.0,0.0,25.0,1.0
ireland,1.0,0.1891891891891892,0.5384615384615384,7.0,30.0,0.0
italy,0.5,0.047619047619047616,0.1724137931034483,1.0,20.0,1.0
japan,0.8333333333333334,0.22727272727272727,0.5434782608695652,5.0,17.0,1.0
luxembourg,1.0,0.24,0.6122448979591837,6.0,19.0,0.0
netherlands,1.0,0.25,0.625,6.0,18.0,0.0
new-zealand,1.0,0.2608695652173913,0.6382978723404256,6.0,17.0,0.0
norway,1.0,0.24,0.6122448979591837,6.0,19.0,0.0
portugal,1.0,0.05,0.20833333333333334,1.0,19.0,0.0
spain,1.0,0.047619047619047616,0.2,1.0,20.0,0.0
sweden,1.0,0.21428571428571427,0.5769230769230769,6.0,22.0,0.0
switzerland,1.0,0.3076923076923077,0.6896551724137931,8.0,18.0,0.0
turkey,1.0,0.14285714285714285,0.45454545454545453,2.0,12.0,0.0
united-kingdom,1.0,0.22727272727272727,0.5952380952380952,5.0,17.0,0.0
united-states,0.875,0.6363636363636364,0.813953488372093,7.0,4.0,1.0
aggregate,0.9363636363636364,0.17975567190226877,0.508390918065153,103.0,470.0,7.0
