,recall,precision,fscore,tp,fp,fn
australia,1.0,0.030303030303030304,0.13513513513513514,1.0,32.0,0.0
austria,1.0,0.037037037037037035,0.16129032258064516,1.0,26.0,0.0
belgium,1.0,0.23333333333333334,0.603448275862069,7.0,23.0,0.0
canada,1.0,0.030303030303030304,0.13513513513513514,1.0,32.0,0.0
denmark,1.0,0.27586206896551724,0.6557377049180327,8.0,21.0,0.0
finland,1.0,0.25,0.625,7.0,21.0,0.0
france,0.8571428571428571,0.46153846153846156,0.7317073170731707,6.0,7.0,1.0
germany,0.7142857142857143,0.29411764705882354,0.5555555555555556,5.0,12.0,2.0
greece,1.0,0.1111111111111111,0.38461538461538464,3.0,24.0,0.0
iceland,1.0,0.03571428571428571,0.15625,1.0,27.0,0.0
ireland,1.0,0.17647058823529413,0.5172413793103449,6.0,28.0,0.0
italy,0.5,0.05,0.17857142857142858,1.0,19.0,1.0
japan,0.8333333333333334,0.23809523809523808,0.5555555555555556,5.0,16.0,1.0
luxembourg,1.0,0.22580645161290322,0.5932203389830508,7.0,24.0,0.0
netherlands,1.0,0.3076923076923077,0.6896551724137931,8.0,18.0,0.0
new-zealand,1.0,0.26666666666666666,0.6451612903225806,8.0,22.0,0.0
norway,1.0,0.23333333333333334,0.603448275862069,7.0,23.0,0.0
portugal,1.0,0.09090909090909091,0.3333333333333333,2.0,20.0,0.0
spain,1.0,0.08333333333333333,0.3125,2.0,22.0,0.0
sweden,1.0,0.21875,0.5833333333333334,7.0,25.0,0.0
switzerland,1.0,0.2857142857142857,0.6666666666666666,8.0,20.0,0.0
turkey,1.0,0.15789473684210525,0.4838709677419355,3.0,16.0,0.0
united-kingdom,1.0,0.19047619047619047,0.5405405405405406,4.0,17.0,0.0
united-states,0.75,0.42857142857142855,0.6521739130434783,6.0,8.0,2.0
aggregate,0.9421487603305785,0.1847649918962723,0.5177111716621253,114.0,503.0,7.0
