,recall,precision,fscore,tp,fp,fn
australia,1.0,0.041666666666666664,0.17857142857142858,1.0,23.0,0.0
austria,1.0,0.045454545454545456,0.19230769230769232,1.0,21.0,0.0
belgium,1.0,0.11538461538461539,0.39473684210526316,3.0,23.0,0.0
canada,1.0,0.029411764705882353,0.13157894736842105,1.0,33.0,0.0
denmark,1.0,0.2413793103448276,0.6140350877192983,7.0,22.0,0.0
finland,1.0,0.19230769230769232,0.5434782608695652,5.0,21.0,0.0
france,1.0,0.4,0.7692307692307693,6.0,9.0,0.0
germany,0.75,0.375,0.625,6.0,10.0,2.0
greece,1.0,0.043478260869565216,0.18518518518518517,1.0,22.0,0.0
iceland,1.0,0.08823529411764706,0.32608695652173914,3.0,31.0,0.0
ireland,1.0,0.24242424242424243,0.6153846153846154,8.0,25.0,0.0
italy,1.0,0.10526315789473684,0.37037037037037035,2.0,17.0,0.0
japan,0.75,0.17647058823529413,0.45454545454545453,3.0,14.0,1.0
luxembourg,1.0,0.13043478260869565,0.42857142857142855,3.0,20.0,0.0
netherlands,1.0,0.24,0.6122448979591837,6.0,19.0,0.0
new-zealand,1.0,0.26666666666666666,0.6451612903225806,8.0,22.0,0.0
norway,1.0,0.19230769230769232,0.5434782608695652,5.0,21.0,0.0
portugal,1.0,0.05,0.20833333333333334,1.0,19.0,0.0
spain,1.0,0.05555555555555555,0.22727272727272727,1.0,17.0,0.0
sweden,1.0,0.15384615384615385,0.47619047619047616,4.0,22.0,0.0
switzerland,1.0,0.25,0.625,6.0,18.0,0.0
turkey,1.0,0.25,0.625,3.0,9.0,0.0
united-kingdom,1.0,0.23809523809523808,0.6097560975609756,5.0,16.0,0.0
united-states,0.625,0.35714285714285715,0.5434782608695652,5.0,9.0,3.0
aggregate,0.94,0.1687612208258528,0.49111807732497387,94.0,463.0,6.0
