,recall,precision,fscore,tp,fp,fn
australia,1.0,0.034482758620689655,0.15151515151515152,1.0,28.0,0.0
austria,1.0,0.04,0.1724137931034483,1.0,24.0,0.0
belgium,1.0,0.16,0.4878048780487805,4.0,21.0,0.0
canada,1.0,0.029411764705882353,0.13157894736842105,1.0,33.0,0.0
denmark,1.0,0.2,0.5555555555555556,6.0,24.0,0.0
finland,1.0,0.21875,0.5833333333333334,7.0,25.0,0.0
france,0.8571428571428571,0.375,0.6818181818181818,6.0,10.0,1.0
germany,0.8333333333333334,0.38461538461538464,0.6756756756756757,5.0,8.0,1.0
greece,1.0,0.09375,0.3409090909090909,3.0,29.0,0.0
iceland,1.0,0.17647058823529413,0.5172413793103449,6.0,28.0,0.0
ireland,1.0,0.24324324324324326,0.6164383561643836,9.0,28.0,0.0
italy,0.5,0.05263157894736842,0.18518518518518517,1.0,18.0,1.0
japan,1.0,0.25,0.625,6.0,18.0,0.0
luxembourg,1.0,0.14814814814814814,0.46511627906976744,4.0,23.0,0.0
netherlands,1.0,0.3333333333333333,0.7142857142857143,8.0,16.0,0.0
new-zealand,1.0,0.19230769230769232,0.5434782608695652,5.0,21.0,0.0
norway,1.0,0.22580645161290322,0.5932203389830508,7.0,24.0,0.0
portugal,1.0,0.14285714285714285,0.45454545454545453,3.0,18.0,0.0
spain,1.0,0.09523809523809523,0.3448275862068966,2.0,19.0,0.0
sweden,1.0,0.2,0.5555555555555556,5.0,20.0,0.0
switzerland,1.0,0.27586206896551724,0.6557377049180327,8.0,21.0,0.0
turkey,1.0,0.14285714285714285,0.45454545454545453,3.0,18.0,0.0
united-kingdom,1.0,0.21739130434782608,0.5813953488372093,5.0,18.0,0.0
united-states,0.9,0.47368421052631576,0.7627118644067796,9.0,10.0,1.0
aggregate,0.9663865546218487,0.18638573743922204,0.526075022872827,115.0,502.0,4.0
