"Overall Index Evaluation (Full Table) based on ""Grouped Serach Words Final""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,All Other Sentiments,,,Other and Negative Sentiment,,,All Language,,,Crisis Language,,,Fear Language,,,Hedging Language,,,Negative Sentiment,,,Opinion Language,,,Positive Sentiment,,,Risk Language,,,
,Country Identification Scheme,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,F2,Precision,Recall,
All Crisis Countries (Title + Snippet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1+ Mentions in Title + Snippet,0.515,0.206,0.821,0.531,0.218,0.828,0.516,0.207,0.821,0.450,0.156,0.850,0.440,0.154,0.824,0.487,0.182,0.837,0.548,0.217,0.885,0.535,0.206,0.891,0.502,0.197,0.818,0.474,0.173,0.836,
,2+ Mentions in Title + Snippet,0.365,0.150,0.568,0.324,0.128,0.528,0.304,0.118,0.500,0.448,0.161,0.807,0.399,0.142,0.732,0.278,0.105,0.471,0.364,0.135,0.632,0.391,0.143,0.692,0.361,0.138,0.605,0.362,0.128,0.667,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First 5 Crisis Countries (Title + Snippet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1+ Mentions in Title + Snippet,0.620,0.306,0.833,0.644,0.327,0.850,0.630,0.314,0.842,0.483,0.192,0.778,0.556,0.250,0.800,0.640,0.302,0.889,0.657,0.316,0.900,0.673,0.328,0.913,0.634,0.315,0.850,0.552,0.243,0.810,
,2+ Mentions in Title + Snippet,0.263,0.231,0.273,0.328,0.308,0.333,0.246,0.231,0.250,0.388,0.161,0.600,0.390,0.182,0.545,0.431,0.357,0.455,0.342,0.200,0.417,0.345,0.222,0.400,0.338,0.192,0.417,0.362,0.200,0.455,
,3+ Mentions in Title + Snippet,0.492,0.462,0.500,0.300,0.300,0.300,0.403,0.357,0.417,0.514,0.282,0.647,0.423,0.261,0.500,0.583,0.583,0.583,0.438,0.292,0.500,0.462,0.353,0.500,0.379,0.278,0.417,0.410,0.294,0.455,
,5+ Mentions in Title + Snippet,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,0.000,,0.000,
