classification_type,f2_threshold,doc_topic_level,fear_language_recall,fear_language_prec,fear_language_f2,risk_language_recall,risk_language_prec,risk_language_f2,hedging_language_recall,hedging_language_prec,hedging_language_f2,opinion_language_recall,opinion_language_prec,opinion_language_f2,crisis_language_recall,crisis_language_prec,crisis_language_f2,positive_sentiment_language_recall,positive_sentiment_language_prec,positive_sentiment_language_f2,negative_sentiment_language_recall,negative_sentiment_language_prec,negative_sentiment_language_f2,agg_all_other_sentiments_recall,agg_all_other_sentiments_prec,agg_all_other_sentiments_f2,agg_other_and_negative_recall,agg_other_and_negative_prec,agg_other_and_negative_f2,all_language_recall,all_language_prec,all_language_f2
Min1_AllCountry,top_1,0.25,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0
Min1_AllCountry,top_1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Min1_AllCountry,top_1,top_10,0.1,0.03571428571428571,0.07352941176470587,0.3076923076923077,0.16666666666666666,0.2631578947368421,0.1,0.05882352941176471,0.08771929824561403,0.25,0.10714285714285714,0.1973684210526316,0.3333333333333333,0.12121212121212123,0.2469135802469136,0.18181818181818185,0.07692307692307693,0.14285714285714285,0.18181818181818185,0.1111111111111111,0.16129032258064516,0.1,0.05882352941176471,0.08771929824561403,0.18181818181818185,0.1176470588235294,0.16393442622950818,0.18181818181818185,0.1111111111111111,0.16129032258064516
Min1_AllCountry,top_1,top_20,0.38461538461538464,0.12195121951219512,0.26881720430107525,0.5,0.21621621621621626,0.3960396039603961,0.1,0.04166666666666666,0.078125,0.38461538461538464,0.14705882352941174,0.2906976744186047,0.4166666666666667,0.11627906976744184,0.27472527472527475,0.25,0.12,0.2054794520547945,0.3333333333333333,0.13793103448275862,0.2597402597402597,0.1,0.043478260869565216,0.07936507936507936,0.3333333333333333,0.18181818181818185,0.2857142857142857,0.2727272727272727,0.14285714285714285,0.2307692307692308
Min1_AllCountry,top_1,0.01,0.5,0.2058823529411765,0.3888888888888889,0.4666666666666667,0.19444444444444445,0.3645833333333333,0.1,0.05,0.08333333333333333,0.38461538461538464,0.1724137931034483,0.308641975308642,0.4166666666666667,0.13157894736842105,0.2906976744186047,0.25,0.13636363636363635,0.21428571428571427,0.2727272727272727,0.13636363636363635,0.2272727272727273,0.1,0.05263157894736842,0.0847457627118644,0.3333333333333333,0.25,0.3125,0.2727272727272727,0.1875,0.25
Min1_AllCountry,top_10,0.25,0.18181818181818185,0.5,0.20833333333333331,0.25,1.0,0.29411764705882354,0.18181818181818185,0.5,0.20833333333333331,0.18181818181818185,0.6666666666666666,0.2127659574468085,0.1,0.5,0.11904761904761905,0.25,1.0,0.29411764705882354,0.3076923076923077,0.8,0.3508771929824561,0.18181818181818185,0.6666666666666666,0.2127659574468085,0.18181818181818185,0.6666666666666666,0.2127659574468085,0.18181818181818185,0.6666666666666666,0.2127659574468085
Min1_AllCountry,top_10,0.05,0.6428571428571429,0.16071428571428573,0.4017857142857143,0.7142857142857143,0.1694915254237288,0.43478260869565216,0.75,0.2195121951219512,0.5056179775280899,0.6,0.1836734693877551,0.4128440366972477,0.8888888888888888,0.1927710843373494,0.5161290322580645,0.6,0.2195121951219512,0.4455445544554456,0.6875,0.25,0.5092592592592593,0.6666666666666666,0.2272727272727273,0.4807692307692308,0.6428571428571429,0.2727272727272727,0.5056179775280899,0.6666666666666666,0.30303030303030304,0.5376344086021505
Min1_AllCountry,top_10,top_10,0.8333333333333334,0.2272727272727273,0.5434782608695652,0.8421052631578947,0.2388059701492537,0.5594405594405595,0.6428571428571429,0.1956521739130435,0.4411764705882353,0.8823529411764706,0.26785714285714285,0.6048387096774194,0.7368421052631579,0.18181818181818185,0.457516339869281,0.85,0.2786885245901639,0.6028368794326241,0.8421052631578947,0.26666666666666666,0.5882352941176471,0.8,0.25,0.5555555555555556,0.8333333333333334,0.29411764705882354,0.6097560975609756,0.8125,0.26,0.5701754385964912
Min1_AllCountry,top_10,top_20,0.75,0.2419354838709677,0.528169014084507,0.8,0.2318840579710145,0.5369127516778524,0.8235294117647058,0.27450980392156865,0.5882352941176471,0.9047619047619048,0.2923076923076923,0.6375838926174496,0.7777777777777778,0.1917808219178082,0.4827586206896552,0.85,0.3269230769230769,0.6439393939393939,0.9090909090909092,0.3225806451612903,0.6666666666666666,0.7894736842105263,0.28846153846153844,0.5859375,0.8571428571428571,0.3461538461538461,0.6617647058823529,0.9,0.3333333333333333,0.6716417910447762
Min1_AllCountry,top_10,0.01,0.7368421052631579,0.2222222222222222,0.5035971223021583,0.85,0.23943661971830985,0.5629139072847682,0.8,0.24489795918367346,0.5504587155963303,0.9,0.3,0.6428571428571429,0.7222222222222222,0.17567567567567569,0.4452054794520548,0.7777777777777778,0.2857142857142857,0.5785123966942148,0.8421052631578947,0.2711864406779661,0.5925925925925926,0.6875,0.22448979591836732,0.4867256637168141,0.7894736842105263,0.3,0.5952380952380952,0.7777777777777778,0.2916666666666667,0.5833333333333334
