,Correlation
Fed Words,0.3865736423144695
w2v Words,0.8988649668440369
w2v Words Revised v3,0.76676927080019
Vader Sentiment Score,0.8404814100182249
Vader Score x Fed Words,0.6308722059925829
Vader Direction x Fed Words,-0.16029602662799922
TextBlob Score x Fed Words,-0.022983386556027614
TextBlob Direction x Fed Words,0.03630741528858108
Afinn Score x Fed Words,-0.1284790764656736
Afinn Direction x Fed Words,-0.35791521792045033
Vader Score x w2v Words,0.8376311420446056
Vader Direction x w2v Words,0.07789876900610013
Textblob Score x w2v Words,-0.13061211004573564
Textblob Direction x w2v Words,0.15951730106813364
Afinn Score x w2v Words,-0.05131652734144053
Afinn Direction x w2v Words,0.03609983814760255
Vader Score x w2v Words Revised v3,0.7549537368091395
Vader Direction x w2v Words Revised v3,0.031011856007402583
TextBlob Score x w2v Words Revised v3,-0.12266228525196125
TextBlob Direction x w2v Words Revised v3,0.11607984999003186
Afinn Score x w2v Words Revised v3,-0.0703026447740216
Afinn Direction x w2v Words Revised v3,-0.05628086391869905
