,Correlation
Fed Words,0.4426126091651085
w2v Words,0.8920481073652491
w2v Words Revised v3,0.696071768895425
Vader Sentiment Score,0.8665608080025667
Vader Score x Fed Words,0.6377297564867581
Vader Direction x Fed Words,-0.21554968874159236
TextBlob Score x Fed Words,-0.15645592131953692
TextBlob Direction x Fed Words,-0.058765622772180635
Afinn Score x Fed Words,-0.2637769387554133
Afinn Direction x Fed Words,-0.2969510045635432
Vader Score x w2v Words,0.8343972637836813
Vader Direction x w2v Words,-0.08323644208353922
Textblob Score x w2v Words,0.001259532354084597
Textblob Direction x w2v Words,0.1867799878943457
Afinn Score x w2v Words,-0.1867748920077018
Afinn Direction x w2v Words,-0.006858355748830656
Vader Score x w2v Words Revised v3,0.7377768711820156
Vader Direction x w2v Words Revised v3,-0.1639161065647505
TextBlob Score x w2v Words Revised v3,-0.0363599271156842
TextBlob Direction x w2v Words Revised v3,0.07513888735849931
Afinn Score x w2v Words Revised v3,-0.21793490608145788
Afinn Direction x w2v Words Revised v3,-0.11550300320722427
