,Correlation
Fed Words,0.011563223184026007
w2v Words,0.5132732957603819
w2v Words Revised v3,0.21892486329983932
Vader Sentiment Score,0.35261572180213163
Vader Score x Fed Words,0.0019521168262019257
Vader Direction x Fed Words,-0.27767220911837226
TextBlob Score x Fed Words,-0.10562578225802582
TextBlob Direction x Fed Words,-0.1675545364064548
Afinn Score x Fed Words,-0.22458988334511276
Afinn Direction x Fed Words,-0.33838758802913704
Vader Score x w2v Words,0.24342403332179366
Vader Direction x w2v Words,-0.4444743844846702
Textblob Score x w2v Words,-0.22363121663883764
Textblob Direction x w2v Words,-0.3255937266396325
Afinn Score x w2v Words,-0.21304768897315543
Afinn Direction x w2v Words,-0.48852508890527147
Vader Score x w2v Words Revised v3,0.1172022527852149
Vader Direction x w2v Words Revised v3,-0.3572108758829244
TextBlob Score x w2v Words Revised v3,-0.16336578467491306
TextBlob Direction x w2v Words Revised v3,-0.1980189607673558
Afinn Score x w2v Words Revised v3,-0.2001153257912675
Afinn Direction x w2v Words Revised v3,-0.40667107851392187
