,Correlation
Fed Words,-0.0530687207648963
w2v Words,0.6675885492839571
w2v Words Revised v3,0.22619988809764188
Vader Sentiment Score,0.6688126995007898
Vader Score x Fed Words,0.25730125944511145
Vader Direction x Fed Words,-0.3880699248174845
TextBlob Score x Fed Words,-0.12210388963821836
TextBlob Direction x Fed Words,-0.2901965472673596
Afinn Score x Fed Words,-0.3451218891929077
Afinn Direction x Fed Words,-0.544933201994834
Vader Score x w2v Words,0.5639265349944346
Vader Direction x w2v Words,-0.3442776313966475
Textblob Score x w2v Words,-0.22907881229300045
Textblob Direction x w2v Words,-0.20801258372688983
Afinn Score x w2v Words,-0.30043330231693566
Afinn Direction x w2v Words,-0.4590916397215418
Vader Score x w2v Words Revised v3,0.3707268572595588
Vader Direction x w2v Words Revised v3,-0.4154964179876169
TextBlob Score x w2v Words Revised v3,-0.22346283317763097
TextBlob Direction x w2v Words Revised v3,-0.2874796326595252
Afinn Score x w2v Words Revised v3,-0.29792088729719923
Afinn Direction x w2v Words Revised v3,-0.519523450776594
