Topic,Word_1,Word_2,Word_3,Word_4,Word_5,Word_6,Word_7,Word_8,Word_9,Word_10,Word_11,Word_12,Word_13,Word_14,Word_15,Word_16,Word_17,Word_18,Word_19,Word_20,Word_21,Word_22,Word_23,Word_24,Word_25,Word_26,Word_27,Word_28,Word_29,Word_30
0,bank,fund,debt,bond,investor,loan,asset,credit,hedge,equity,capital,risk,financial,investment,lend,cent,rate,crisis,mortgage,lender,deal,banker,manager,default,â€™,money,private,liquidity,loss,finance
1,management,experience,business,client,financial,finance,service,team,london,bank,manager,opportunity,investment,role,skill,professional,international,contact,development,director,information,corporate,work,candidate,manage,executive,senior,career,group,provide
2,banco,mcalpine,nterim_provider,maserati,easdaq,sdrs,previous_highllow,fink,videoconferencing,abbvie,telebras,alfred_mcalpine,sharelink,ayling,obuchi,robb,moelis,petroleum_argus,asic,banco_exterior,techinvest,cridland,banco_urquijo,borland,nick_raynsford,latet,amas,bundespost,lanarkshire,ukla
3,buffett,berkshire,berkshire_hathaway,robert_gibbens,warren_buffett,sikh,luxottica,abertis,punjab,gcap,informa,autostrade,fitbit,takeshita,omaha,gallois,anson,ortega,batsman,napm,pocket_diary,celanese,kleinfeld,sonangol,ultra_orthodox,tomtom,bock,sandinistas,gorgon,exim
4,director,appoint,chairman,board,group,join,executive,manage,chief_executive,john,retire,manager,david,division,finance,appointment,deputy_chairman,peter,holding,management,head,bank,succeed,vice_president,resign,subsidiary,general,chief,share,london
5,corp,nippon,bank,tokyo,hitachi,telecom,toshiba,intl,japan,motor,steel,elec,food,mitsui,electric,sumitomo,siemens,chemical,automobile,sony,mover,intel,cred,henkel,coca_colon,pacific,canon,philips,power,energy
6,turkey,turkish,nigeria,africa,african,cyprus,ankara,erdogan,nigerian,istanbul,kenya,greek,ghana,greece,south_africa,lagos,athens,uganda,continent,turks,naira,tanzania,ashdown,botswana,wolfowitz,mozambique,cypriot,kerviel,recep_tayyip,nigerians
7,card,printer,visa,credit_card,machine,zuma,swfr,mastercard,modi,recycle_recycle,cardholder,traveller_cheque,ellison,progs,debit_card,quotrek,mbeki,participation_certificate,undated_float,john_wick,kodak,visa_mastercard,merlin,card_issuer,nimrod,agnew,jacob_zuma,uniq,guantÃ¡namo,sensex
8,share,group,page,index,option,stock,hanson,volume,price,food,close,turnover,trade,ftse,british,water,stake,profit,high,issue,chemical,retailer,london,bank,cent,contract,week,hotel,leisure,yesterday
9,irish,oracle,philippines,manila,lonrho,philippine,peso,taylor_wimpey,aquino,barcap,marcos,peoplesoft,basel_committee,fraser,rowland,miguel,rtrs,byers,isosceles,varley,energis,estrada,sirius,ivas,quote,slight_improvement,republic,selection,multiplex,catlin
