5-Country Evaluation of Inclusvie Document-Specific Topiccing Discrimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top 1 Most ""Informative"" Topic",Fear Language,,,Risk Language,,,Hedging Language,,,Opinion Language,,,,Crisis Language,,Positive Sentiment,,,Negative Sentiment,,,Agg All Other Sentiments,,,Agg All Other and Negative,,,All Language,,
Within-document topic level,Recall,Precision,F2,Recall,Precision,F2,Recall,Precision,F2,Recall,Precision,F2,Recall,Precision,F2,Recall,Precision,F2,Recall,Precision,F2,Recall,Precision,F2,Recall,Precision,F2,Recall,Precision,F2
One of the topics is >= 25%,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0
On of the topics >= 5%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1+ Topics is in the Top 10,0.1,0.035714286,0.073529412,0.307692308,0.166666667,0.263157895,0.1,0.058823529,0.087719298,0.25,0.107142857,0.197368421,0.333333333,0.121212121,0.24691358,0.181818182,0.076923077,0.142857143,0.181818182,0.111111111,0.161290323,0.1,0.058823529,0.087719298,0.181818182,0.117647059,0.163934426,0.181818182,0.111111111,0.161290323
1+ Topics is in the Top 20,0.384615385,0.12195122,0.268817204,0.5,0.216216216,0.396039604,0.1,0.041666667,0.078125,0.384615385,0.147058824,0.290697674,0.416666667,0.11627907,0.274725275,0.25,0.12,0.205479452,0.333333333,0.137931034,0.25974026,0.1,0.043478261,0.079365079,0.333333333,0.181818182,0.285714286,0.272727273,0.142857143,0.230769231
On of the topics >= 1%,0.5,0.205882353,0.388888889,0.466666667,0.194444444,0.364583333,0.1,0.05,0.083333333,0.384615385,0.172413793,0.308641975,0.416666667,0.131578947,0.290697674,0.25,0.136363636,0.214285714,0.272727273,0.136363636,0.227272727,0.1,0.052631579,0.084745763,0.333333333,0.25,0.3125,0.272727273,0.1875,0.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top 10 Most ""Informative"" Topics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of the topics is >= 25%,0.181818182,0.5,0.208333333,0.25,1,0.294117647,0.181818182,0.5,0.208333333,0.181818182,0.666666667,0.212765957,0.1,0.5,0.119047619,0.25,1,0.294117647,0.307692308,0.8,0.350877193,0.181818182,0.666666667,0.212765957,0.181818182,0.666666667,0.212765957,0.181818182,0.666666667,0.212765957
On of the topics >= 5%,0.642857143,0.160714286,0.401785714,0.714285714,0.169491525,0.434782609,0.75,0.219512195,0.505617978,0.6,0.183673469,0.412844037,0.888888889,0.192771084,0.516129032,0.6,0.219512195,0.445544554,0.6875,0.25,0.509259259,0.666666667,0.227272727,0.480769231,0.642857143,0.272727273,0.505617978,0.666666667,0.303030303,0.537634409
1+ Topics is in the Top 10,0.833333333,0.227272727,0.543478261,0.842105263,0.23880597,0.559440559,0.642857143,0.195652174,0.441176471,0.882352941,0.267857143,0.60483871,0.736842105,0.181818182,0.45751634,0.85,0.278688525,0.602836879,0.842105263,0.266666667,0.588235294,0.8,0.25,0.555555556,0.833333333,0.294117647,0.609756098,0.8125,0.26,0.570175439
1+ Topics is in the Top 20,0.75,0.241935484,0.528169014,0.8,0.231884058,0.536912752,0.823529412,0.274509804,0.588235294,0.904761905,0.292307692,0.637583893,0.777777778,0.191780822,0.482758621,0.85,0.326923077,0.643939394,0.909090909,0.322580645,0.666666667,0.789473684,0.288461538,0.5859375,0.857142857,0.346153846,0.661764706,0.9,0.333333333,0.671641791
On of the topics >= 1%,0.736842105,0.222222222,0.503597122,0.85,0.23943662,0.562913907,0.8,0.244897959,0.550458716,0.9,0.3,0.642857143,0.722222222,0.175675676,0.445205479,0.777777778,0.285714286,0.578512397,0.842105263,0.271186441,0.592592593,0.6875,0.224489796,0.486725664,0.789473684,0.3,0.595238095,0.777777778,0.291666667,0.583333333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics with Country-Topic Time Series of F2 > 0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of the topics is >= 25%,0.75,0.483870968,0.675675676,0.625,0.37037037,0.549450549,0.722222222,0.448275862,0.643564356,0.777777778,0.466666667,0.68627451,0.75,0.46875,0.669642857,0.705882353,0.375,0.6,0.625,0.303030303,0.515463918,0.722222222,0.433333333,0.637254902,0.705882353,0.352941176,0.588235294,0.705882353,0.375,0.6
On of the topics >= 5%,0.764705882,0.361111111,0.625,0.705882353,0.342857143,0.582524272,0.833333333,0.454545455,0.714285714,0.85,0.447368421,0.720338983,0.625,0.238095238,0.471698113,0.705882353,0.4,0.612244898,0.85,0.485714286,0.739130435,0.75,0.46875,0.669642857,0.789473684,0.428571429,0.675675676,0.789473684,0.46875,0.694444444
1+ Topics is in the Top 10,0.8,0.363636364,0.64516129,0.761904762,0.355555556,0.620155039,0.833333333,0.365853659,0.663716814,0.863636364,0.475,0.7421875,0.647058824,0.239130435,0.48245614,0.789473684,0.416666667,0.669642857,0.85,0.425,0.708333333,0.777777778,0.388888889,0.648148148,0.8,0.4,0.666666667,0.789473684,0.394736842,0.657894737
1+ Topics is in the Top 20,0.8,0.363636364,0.64516129,0.761904762,0.355555556,0.620155039,0.833333333,0.365853659,0.663716814,0.863636364,0.475,0.7421875,0.647058824,0.239130435,0.48245614,0.789473684,0.416666667,0.669642857,0.85,0.425,0.708333333,0.777777778,0.388888889,0.648148148,0.8,0.41025641,0.672268908,0.789473684,0.394736842,0.657894737
On of the topics >= 1%,0.8,0.363636364,0.64516129,0.761904762,0.355555556,0.620155039,0.833333333,0.365853659,0.663716814,0.863636364,0.475,0.7421875,0.647058824,0.239130435,0.48245614,0.789473684,0.416666667,0.669642857,0.85,0.425,0.708333333,0.777777778,0.388888889,0.648148148,0.8,0.41025641,0.672268908,0.789473684,0.394736842,0.657894737
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topics with Country-Topic Time Series of F2 > 0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One of the topics is >= 25%,0.6875,0.392857143,0.597826087,0.666666667,0.444444444,0.606060606,0.666666667,0.357142857,0.568181818,0.666666667,0.384615385,0.581395349,0.736842105,0.451612903,0.654205607,0.6875,0.407407407,0.604395604,0.625,0.303030303,0.515463918,0.6875,0.392857143,0.597826087,0.666666667,0.333333333,0.555555556,0.666666667,0.344827586,0.561797753
On of the topics >= 5%,0.764705882,0.276595745,0.565217391,0.705882353,0.260869565,0.526315789,0.888888889,0.372093023,0.695652174,0.842105263,0.363636364,0.666666667,0.6875,0.196428571,0.458333333,0.764705882,0.361111111,0.625,0.9,0.4,0.72,0.75,0.405405405,0.641025641,0.789473684,0.365853659,0.641025641,0.789473684,0.394736842,0.657894737
1+ Topics is in the Top 10,0.857142857,0.333333333,0.652173913,0.80952381,0.293103448,0.598591549,0.894736842,0.333333333,0.669291339,0.913043478,0.411764706,0.734265734,0.705882353,0.19047619,0.458015267,0.85,0.369565217,0.674603175,0.904761905,0.358490566,0.693430657,0.85,0.361702128,0.669291339,0.863636364,0.38,0.688405797,0.85,0.354166667,0.6640625
1+ Topics is in the Top 20,0.8,0.307692308,0.606060606,0.80952381,0.288135593,0.594405594,0.888888889,0.32,0.655737705,0.913043478,0.411764706,0.734265734,0.705882353,0.193548387,0.461538462,0.85,0.369565217,0.674603175,0.9,0.36,0.692307692,0.833333333,0.333333333,0.641025641,0.85,0.361702128,0.669291339,0.842105263,0.340425532,0.650406504
On of the topics >= 1%,0.8,0.307692308,0.606060606,0.80952381,0.288135593,0.594405594,0.888888889,0.32,0.655737705,0.913043478,0.411764706,0.734265734,0.705882353,0.193548387,0.461538462,0.85,0.369565217,0.674603175,0.9,0.352941176,0.687022901,0.833333333,0.333333333,0.641025641,0.85,0.361702128,0.669291339,0.842105263,0.347826087,0.655737705
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Topiccing Discrimination Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
