crisis_definition,sentimenter_name,sentiment_kind,improvement_recall_%,improvement_precision_%,improvement_fscore_%,correlation
IMF_GAP_0,afinn,direction,4.077164912891888,-1.8647964067471205,2.4060178400754637,-0.277421693226262
IMF_GAP_0,afinn,intensity,15.055192633802728,0.9952918285031869,10.94457560147494,-0.18835028468372064
IMF_GAP_0,textblob,direction,4.188934110197481,-2.960152087456883,2.1478716947741994,-0.12711852360347073
IMF_GAP_0,textblob,intensity,12.066311943319036,-1.5530770615393565,8.109138900233042,-0.11166109449085518
IMF_GAP_0,vader,direction,4.3653152411874165,-3.6300252813440816,2.117317131370898,-0.32960024642745145
IMF_GAP_0,vader,intensity,6.854662754388575,-1.9874839850365584,4.366650459705667,0.48895541551210625
IMF_GAP_6,afinn,direction,1.8262305799554717,-2.8719712080431288,-1.3578730045164438,-0.277421693226262
IMF_GAP_6,afinn,intensity,12.514711699410448,-0.5097761743187781,3.569284668823952,-0.18835028468372064
IMF_GAP_6,textblob,direction,2.750490826846097,-7.6941713161711895,-4.424968178922651,-0.12711852360347073
IMF_GAP_6,textblob,intensity,7.633538490170338,-11.340264224130998,-5.6263525057725,-0.11166109449085518
IMF_GAP_6,vader,direction,1.7294504470521455,-6.141513565293466,-3.5511841712507195,-0.32960024642745145
IMF_GAP_6,vader,intensity,4.848079323693222,-2.6936342548661716,-0.19890447325631788,0.48895541551210625
IMF_Monthly_Starts,afinn,direction,8.350625566403554,-0.8218331361097742,5.31229449952758,-0.277421693226262
IMF_Monthly_Starts,afinn,intensity,24.007015239530432,4.745490812938346,17.398832630107993,-0.18835028468372064
IMF_Monthly_Starts,textblob,direction,6.9724409924488775,-1.0115045674455123,4.316666264845496,-0.12711852360347073
IMF_Monthly_Starts,textblob,intensity,20.80824406863907,5.88337309579293,15.813779658095031,-0.11166109449085518
IMF_Monthly_Starts,vader,direction,8.15571799019725,-2.9451590896491284,4.471678658675769,-0.32960024642745145
IMF_Monthly_Starts,vader,intensity,10.918630885742871,-1.0900911349868918,6.9633456904202,0.48895541551210625
IMF_Monthly_Starts_Gap_3,afinn,direction,7.202036850117717,-2.109245992664128,3.066709068361657,-0.277421693226262
IMF_Monthly_Starts_Gap_3,afinn,intensity,18.32634625590651,0.6470615258932311,10.221141445245333,-0.18835028468372064
IMF_Monthly_Starts_Gap_3,textblob,direction,5.66220641531046,-2.5888963347594247,1.9895216482136597,-0.12711852360347073
IMF_Monthly_Starts_Gap_3,textblob,intensity,17.052812322421453,2.5228908120261657,10.499907170856774,-0.11166109449085518
IMF_Monthly_Starts_Gap_3,vader,direction,4.875281632685795,-6.928705791118592,-0.404114068860288,-0.32960024642745145
IMF_Monthly_Starts_Gap_3,vader,intensity,9.071207030484306,-3.032087930464899,3.683162933679049,0.48895541551210625
IMF_Monthly_Starts_Gap_6,afinn,direction,5.551043501833898,-4.190527396475043,0.3665740373258983,-0.277421693226262
IMF_Monthly_Starts_Gap_6,afinn,intensity,15.98889598453199,-2.642662489043452,5.758942681100844,-0.18835028468372064
IMF_Monthly_Starts_Gap_6,textblob,direction,3.2114380869935677,-6.9666729921784984,-2.269631314651965,-0.12711852360347073
IMF_Monthly_Starts_Gap_6,textblob,intensity,13.522676916376597,-2.451048224767855,4.823079165172097,-0.11166109449085518
IMF_Monthly_Starts_Gap_6,vader,direction,4.394272199050758,-6.917552247856326,-1.6600662592836946,-0.32960024642745145
IMF_Monthly_Starts_Gap_6,vader,intensity,7.103981566094966,-6.151933630551344,-0.02111641568581457,0.48895541551210625
kr,afinn,direction,3.80749170222854,0.3643598033002506,1.338886535836986,-0.277421693226262
kr,afinn,intensity,3.5834942084942094,-16.801761444316714,-12.019278299555133,-0.18835028468372064
kr,textblob,direction,0.4385553470919257,-12.271044279885157,-9.653094298981255,-0.12711852360347073
kr,textblob,intensity,10.744147157190636,-0.7477694099454713,1.9593817748704705,-0.11166109449085518
