,Correlation
Fed Words,0.10150045298015523
w2v Words,0.6034100850861642
w2v Words Revised v3,0.32577675190290095
Vader Sentiment Score,0.4444920625270564
Vader Score x Fed Words,0.12513551808636744
Vader Direction x Fed Words,-0.2733253524917856
TextBlob Score x Fed Words,-0.09477125893537258
TextBlob Direction x Fed Words,-0.19780681197632677
Afinn Score x Fed Words,-0.17375449047984576
Afinn Direction x Fed Words,-0.3423599415439122
Vader Score x w2v Words,0.40100155362116535
Vader Direction x w2v Words,-0.4181977491369899
Textblob Score x w2v Words,-0.26163114923963304
Textblob Direction x w2v Words,-0.37178148889034973
Afinn Score x w2v Words,-0.2170100770302551
Afinn Direction x w2v Words,-0.4536002282403684
Vader Score x w2v Words Revised v3,0.21802320311262066
Vader Direction x w2v Words Revised v3,-0.3619198227105844
TextBlob Score x w2v Words Revised v3,-0.19337257443765765
TextBlob Direction x w2v Words Revised v3,-0.2875790382328678
Afinn Score x w2v Words Revised v3,-0.20313827473155793
Afinn Direction x w2v Words Revised v3,-0.38998319805950027
