,Correlation
Fed Words,0.07883155956439071
w2v Words,0.6176606513523245
w2v Words Revised v3,0.29184822090471685
Vader Sentiment Score,0.19020981298722225
Vader Score x Fed Words,0.06811496245948477
Vader Direction x Fed Words,-0.29875236387121334
TextBlob Score x Fed Words,-0.05648469912861004
TextBlob Direction x Fed Words,-0.22314022198450786
Afinn Score x Fed Words,-0.15282847480044076
Afinn Direction x Fed Words,-0.32841749316577606
Vader Score x w2v Words,0.22112557624866533
Vader Direction x w2v Words,-0.4887948629687826
Textblob Score x w2v Words,-0.14926315151276118
Textblob Direction x w2v Words,-0.4009858419803791
Afinn Score x w2v Words,-0.21656261860745876
Afinn Direction x w2v Words,-0.5010034038801965
Vader Score x w2v Words Revised v3,0.10111667317936612
Vader Direction x w2v Words Revised v3,-0.40869214649470637
TextBlob Score x w2v Words Revised v3,-0.10676209208223786
TextBlob Direction x w2v Words Revised v3,-0.31154507368302164
Afinn Score x w2v Words Revised v3,-0.18340131703129772
Afinn Direction x w2v Words Revised v3,-0.41882447945535134
