threshold,country,fscore,tp,fp,fn,sensitivity
0.0,argentina,0.783410138248848,34.0,43.0,1.0,0.9714285714285714
0.0,bolivia,0.35714285714285715,9.0,81.0,0.0,1.0
0.0,brazil,0.7706093189964157,43.0,64.0,0.0,1.0
0.0,chile,0.0,0.0,104.0,1.0,0.0
0.0,colombia,0.31496062992125984,8.0,87.0,0.0,1.0
1.282,argentina,0.7534246575342466,11.0,14.0,1.0,0.9166666666666666
1.282,bolivia,0.6,6.0,20.0,0.0,1.0
1.282,brazil,0.7766990291262136,16.0,23.0,0.0,1.0
1.282,chile,0.0,0.0,28.0,1.0,0.0
1.282,colombia,0.2777777777777778,2.0,26.0,0.0,1.0
1.44,argentina,0.7627118644067796,9.0,10.0,1.0,0.9
1.44,bolivia,0.6122448979591837,6.0,19.0,0.0,1.0
1.44,brazil,0.7865168539325843,14.0,19.0,0.0,1.0
1.44,chile,0.0,0.0,24.0,1.0,0.0
1.44,colombia,0.29411764705882354,2.0,24.0,0.0,1.0
1.645,argentina,0.7894736842105263,9.0,8.0,1.0,0.9
1.645,bolivia,0.6097560975609756,5.0,16.0,0.0,1.0
1.645,brazil,0.7746478873239436,11.0,16.0,0.0,1.0
1.645,chile,0.0,0.0,15.0,1.0,0.0
1.645,colombia,0.3703703703703704,2.0,17.0,0.0,1.0
1.96,argentina,0.6818181818181818,6.0,6.0,2.0,0.75
1.96,bolivia,0.5357142857142857,3.0,13.0,0.0,1.0
1.96,brazil,0.7894736842105263,9.0,8.0,1.0,0.9
1.96,chile,0.0,0.0,6.0,1.0,0.0
1.96,colombia,0.35714285714285715,1.0,9.0,0.0,1.0
2.576,argentina,0.7142857142857143,5.0,2.0,2.0,0.7142857142857143
2.576,bolivia,0.4545454545454545,1.0,6.0,0.0,1.0
2.576,brazil,0.8571428571428571,6.0,1.0,1.0,0.8571428571428571
2.576,chile,0.0,0.0,3.0,1.0,0.0
2.576,colombia,0.625,1.0,3.0,0.0,1.0
99.0,argentina,0.0,0.0,0.0,4.0,0.0
99.0,bolivia,0.0,0.0,0.0,1.0,0.0
99.0,brazil,0.0,0.0,0.0,3.0,0.0
99.0,chile,0.0,0.0,0.0,1.0,0.0
99.0,colombia,0.0,0.0,0.0,1.0,0.0
