threshold,country,fscore,tp,fp,fn,sensitivity
0.0,argentina,0.8027522935779816,35.0,39.0,1.0,0.9722222222222222
0.0,bolivia,0.3252032520325203,8.0,83.0,0.0,1.0
0.0,brazil,0.7665505226480837,44.0,67.0,0.0,1.0
0.0,chile,0.04807692307692308,1.0,99.0,0.0,1.0
0.0,colombia,0.28,7.0,90.0,0.0,1.0
1.282,argentina,0.7792207792207793,12.0,13.0,1.0,0.9230769230769231
1.282,bolivia,0.5102040816326531,5.0,24.0,0.0,1.0
1.282,brazil,0.7870370370370371,17.0,23.0,0.0,1.0
1.282,chile,0.0,0.0,28.0,1.0,0.0
1.282,colombia,0.38461538461538464,3.0,24.0,0.0,1.0
1.44,argentina,0.78125,10.0,10.0,1.0,0.9090909090909091
1.44,bolivia,0.5813953488372093,5.0,18.0,0.0,1.0
1.44,brazil,0.7647058823529411,13.0,20.0,0.0,1.0
1.44,chile,0.0,0.0,20.0,1.0,0.0
1.44,colombia,0.3225806451612903,2.0,21.0,0.0,1.0
1.645,argentina,0.7692307692307693,8.0,8.0,1.0,0.8888888888888888
1.645,bolivia,0.6410256410256411,5.0,14.0,0.0,1.0
1.645,brazil,0.8024691358024691,13.0,16.0,0.0,1.0
1.645,chile,0.0,0.0,15.0,1.0,0.0
1.645,colombia,0.2380952380952381,1.0,16.0,0.0,1.0
1.96,argentina,0.6666666666666666,6.0,7.0,2.0,0.75
1.96,bolivia,0.5769230769230769,3.0,11.0,0.0,1.0
1.96,brazil,0.7142857142857143,7.0,10.0,1.0,0.875
1.96,chile,0.0,0.0,8.0,1.0,0.0
1.96,colombia,0.3333333333333333,1.0,10.0,0.0,1.0
2.576,argentina,0.6451612903225806,4.0,3.0,2.0,0.6666666666666666
2.576,bolivia,0.4545454545454545,1.0,6.0,0.0,1.0
2.576,brazil,0.8571428571428571,6.0,1.0,1.0,0.8571428571428571
2.576,chile,0.0,0.0,1.0,1.0,0.0
2.576,colombia,0.5555555555555556,1.0,4.0,0.0,1.0
99.0,argentina,0.0,0.0,0.0,4.0,0.0
99.0,bolivia,0.0,0.0,0.0,1.0,0.0
99.0,brazil,0.0,0.0,0.0,3.0,0.0
99.0,chile,0.0,0.0,0.0,1.0,0.0
99.0,colombia,0.0,0.0,0.0,1.0,0.0
