threshold,country,fscore,tp,fp,fn,sensitivity,recall,precision,one_minus_sens
0.0,argentina,0.7949790794979079,38.0,45.0,1.0,0.9743589743589745,0.9743589743589743,0.4578313253012048,0.02564102564102555
0.0,bolivia,0.375,9.0,75.0,0.0,1.0,1.0,0.10714285714285714,0.0
0.0,brazil,0.7875457875457875,43.0,58.0,0.0,1.0,1.0,0.42574257425742573,0.0
0.0,chile,0.0,0.0,96.0,1.0,0.0,0.0,0.0,1.0
0.0,colombia,0.25862068965517243,6.0,86.0,0.0,1.0,1.0,0.06521739130434782,0.0
1.282,argentina,0.7377049180327869,9.0,12.0,1.0,0.9,0.9,0.42857142857142855,0.09999999999999998
1.282,bolivia,0.43478260869565216,4.0,26.0,0.0,1.0,1.0,0.13333333333333333,0.0
1.282,brazil,0.7471264367816092,13.0,22.0,0.0,1.0,1.0,0.37142857142857144,0.0
1.282,chile,0.0,0.0,35.0,1.0,0.0,0.0,0.0,1.0
1.282,colombia,0.29411764705882354,2.0,24.0,0.0,1.0,1.0,0.07692307692307693,0.0
1.44,argentina,0.6862745098039216,7.0,12.0,1.0,0.875,0.875,0.3684210526315789,0.125
1.44,bolivia,0.4651162790697674,4.0,23.0,0.0,1.0,1.0,0.14814814814814814,0.0
1.44,brazil,0.7594936708860759,12.0,19.0,0.0,1.0,1.0,0.3870967741935484,0.0
1.44,chile,0.0,0.0,28.0,1.0,0.0,0.0,0.0,1.0
1.44,colombia,0.19230769230769232,1.0,21.0,0.0,1.0,1.0,0.045454545454545456,0.0
1.645,argentina,0.7,7.0,11.0,1.0,0.875,0.875,0.3888888888888889,0.125
1.645,bolivia,0.4651162790697674,4.0,23.0,0.0,1.0,1.0,0.14814814814814814,0.0
1.645,brazil,0.7746478873239436,11.0,16.0,0.0,1.0,1.0,0.4074074074074074,0.0
1.645,chile,0.0,0.0,23.0,1.0,0.0,0.0,0.0,1.0
1.645,colombia,0.2272727272727273,1.0,17.0,0.0,1.0,1.0,0.05555555555555555,0.0
1.96,argentina,0.5405405405405406,4.0,9.0,2.0,0.6666666666666666,0.6666666666666666,0.3076923076923077,0.33333333333333337
1.96,bolivia,0.6060606060606061,4.0,13.0,0.0,1.0,1.0,0.23529411764705882,0.0
1.96,brazil,0.8490566037735849,9.0,8.0,0.0,1.0,1.0,0.5294117647058824,0.0
1.96,chile,0.0,0.0,15.0,1.0,0.0,0.0,0.0,1.0
1.96,colombia,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.0
2.576,argentina,0.6060606060606061,4.0,5.0,2.0,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.33333333333333337
2.576,bolivia,0.38461538461538464,1.0,8.0,0.0,1.0,1.0,0.1111111111111111,0.0
2.576,brazil,0.8536585365853658,7.0,2.0,1.0,0.875,0.875,0.7777777777777778,0.125
2.576,chile,0.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0
2.576,colombia,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0
99.0,argentina,0.0,0.0,0.0,4.0,0.0,0.0,,1.0
99.0,bolivia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,brazil,0.0,0.0,0.0,3.0,0.0,0.0,,1.0
99.0,chile,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,colombia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
