threshold,country,fscore,tp,fp,fn,sensitivity,recall,precision,one_minus_sens
0.0,argentina,0.8149779735682819,37.0,38.0,1.0,0.9736842105263158,0.9736842105263158,0.49333333333333335,0.02631578947368418
0.0,bolivia,0.36585365853658536,9.0,78.0,0.0,1.0,1.0,0.10344827586206896,0.0
0.0,brazil,0.7746478873239436,44.0,64.0,0.0,1.0,1.0,0.4074074074074074,0.0
0.0,chile,0.0,0.0,104.0,1.0,0.0,0.0,0.0,1.0
0.0,colombia,0.3435114503816794,9.0,86.0,0.0,1.0,1.0,0.09473684210526316,0.0
1.282,argentina,0.7352941176470589,10.0,14.0,1.0,0.9090909090909092,0.9090909090909091,0.4166666666666667,0.09090909090909083
1.282,bolivia,0.4651162790697674,4.0,23.0,0.0,1.0,1.0,0.14814814814814814,0.0
1.282,brazil,0.7575757575757576,15.0,24.0,0.0,1.0,1.0,0.38461538461538464,0.0
1.282,chile,0.0,0.0,28.0,1.0,0.0,0.0,0.0,1.0
1.282,colombia,0.38461538461538464,3.0,24.0,0.0,1.0,1.0,0.1111111111111111,0.0
1.44,argentina,0.7377049180327869,9.0,12.0,1.0,0.9,0.9,0.42857142857142855,0.09999999999999998
1.44,bolivia,0.42857142857142855,3.0,20.0,0.0,1.0,1.0,0.13043478260869565,0.0
1.44,brazil,0.7594936708860759,12.0,19.0,0.0,1.0,1.0,0.3870967741935484,0.0
1.44,chile,0.0,0.0,22.0,1.0,0.0,0.0,0.0,1.0
1.44,colombia,0.4166666666666667,3.0,21.0,0.0,1.0,1.0,0.125,0.0
1.645,argentina,0.7608695652173914,7.0,7.0,1.0,0.875,0.875,0.5,0.125
1.645,bolivia,0.2380952380952381,1.0,16.0,0.0,1.0,1.0,0.058823529411764705,0.0
1.645,brazil,0.7857142857142857,11.0,15.0,0.0,1.0,1.0,0.4230769230769231,0.0
1.645,chile,0.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0
1.645,colombia,0.35714285714285715,2.0,18.0,0.0,1.0,1.0,0.1,0.0
1.96,argentina,0.7777777777777778,7.0,6.0,1.0,0.875,0.875,0.5384615384615384,0.125
1.96,bolivia,0.2631578947368421,1.0,14.0,0.0,1.0,1.0,0.06666666666666667,0.0
1.96,brazil,0.8474576271186439,10.0,9.0,0.0,1.0,1.0,0.5263157894736842,0.0
1.96,chile,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0
1.96,colombia,0.35714285714285715,1.0,9.0,0.0,1.0,1.0,0.1,0.0
2.576,argentina,0.6944444444444444,5.0,3.0,2.0,0.7142857142857143,0.7142857142857143,0.625,0.2857142857142857
2.576,bolivia,0.38461538461538464,1.0,8.0,0.0,1.0,1.0,0.1111111111111111,0.0
2.576,brazil,0.8571428571428571,6.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.1428571428571429
2.576,chile,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0
2.576,colombia,0.5,1.0,5.0,0.0,1.0,1.0,0.16666666666666666,0.0
99.0,argentina,0.0,0.0,0.0,4.0,0.0,0.0,,1.0
99.0,bolivia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,brazil,0.0,0.0,0.0,3.0,0.0,0.0,,1.0
99.0,chile,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,colombia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
