threshold,country,fscore,tp,fp,fn,sensitivity,recall,precision,one_minus_sens
0.0,argentina,0.7964601769911505,36.0,42.0,1.0,0.972972972972973,0.972972972972973,0.46153846153846156,0.027027027027026973
0.0,bolivia,0.3543307086614173,9.0,82.0,0.0,1.0,1.0,0.0989010989010989,0.0
0.0,brazil,0.7627118644067796,45.0,70.0,0.0,1.0,1.0,0.391304347826087,0.0
0.0,chile,0.04629629629629629,1.0,103.0,0.0,1.0,1.0,0.009615384615384616,0.0
0.0,colombia,0.24390243902439024,6.0,93.0,0.0,1.0,1.0,0.06060606060606061,0.0
1.282,argentina,0.7894736842105263,12.0,12.0,1.0,0.9230769230769232,0.9230769230769231,0.5,0.07692307692307676
1.282,bolivia,0.5,5.0,25.0,0.0,1.0,1.0,0.16666666666666666,0.0
1.282,brazil,0.78125,15.0,21.0,0.0,1.0,1.0,0.4166666666666667,0.0
1.282,chile,0.16129032258064516,1.0,26.0,0.0,1.0,1.0,0.037037037037037035,0.0
1.282,colombia,0.36585365853658536,3.0,26.0,0.0,1.0,1.0,0.10344827586206896,0.0
1.44,argentina,0.8108108108108109,12.0,10.0,1.0,0.9230769230769232,0.9230769230769231,0.5454545454545454,0.07692307692307676
1.44,bolivia,0.5434782608695652,5.0,21.0,0.0,1.0,1.0,0.19230769230769232,0.0
1.44,brazil,0.7894736842105263,15.0,20.0,0.0,1.0,1.0,0.42857142857142855,0.0
1.44,chile,0.0,0.0,22.0,1.0,0.0,0.0,0.0,1.0
1.44,colombia,0.40540540540540543,3.0,22.0,0.0,1.0,1.0,0.12,0.0
1.645,argentina,0.8108108108108109,12.0,10.0,1.0,0.9230769230769232,0.9230769230769231,0.5454545454545454,0.07692307692307676
1.645,bolivia,0.5555555555555556,4.0,16.0,0.0,1.0,1.0,0.2,0.0
1.645,brazil,0.7971014492753623,11.0,14.0,0.0,1.0,1.0,0.44,0.0
1.645,chile,0.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0
1.645,colombia,0.3703703703703704,2.0,17.0,0.0,1.0,1.0,0.10526315789473684,0.0
1.96,argentina,0.75,6.0,6.0,1.0,0.8571428571428571,0.8571428571428571,0.5,0.1428571428571429
1.96,bolivia,0.6,3.0,10.0,0.0,1.0,1.0,0.23076923076923078,0.0
1.96,brazil,0.8181818181818182,9.0,10.0,0.0,1.0,1.0,0.47368421052631576,0.0
1.96,chile,0.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0
1.96,colombia,0.3125,1.0,11.0,0.0,1.0,1.0,0.08333333333333333,0.0
2.576,argentina,0.7142857142857143,4.0,4.0,1.0,0.8,0.8,0.5,0.19999999999999996
2.576,bolivia,0.5882352941176471,2.0,7.0,0.0,1.0,1.0,0.2222222222222222,0.0
2.576,brazil,0.7894736842105263,6.0,4.0,1.0,0.8571428571428571,0.8571428571428571,0.6,0.1428571428571429
2.576,chile,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0
2.576,colombia,0.4545454545454545,1.0,6.0,0.0,1.0,1.0,0.14285714285714285,0.0
99.0,argentina,0.0,0.0,0.0,4.0,0.0,0.0,,1.0
99.0,bolivia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,brazil,0.0,0.0,0.0,3.0,0.0,0.0,,1.0
99.0,chile,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
99.0,colombia,0.0,0.0,0.0,1.0,0.0,0.0,,1.0
