threshold,country,fscore,tp,fp,fn,sensitivity
0.0,argentina,0.7964601769911505,36.0,42.0,1.0,0.972972972972973
0.0,bolivia,0.2857142857142857,6.0,75.0,0.0,1.0
0.0,brazil,0.7586206896551724,44.0,70.0,0.0,1.0
0.0,chile,0.04464285714285714,1.0,107.0,0.0,1.0
0.0,colombia,0.2755905511811024,7.0,92.0,0.0,1.0
1.282,argentina,0.7575757575757576,10.0,12.0,1.0,0.9090909090909091
1.282,bolivia,0.5769230769230769,6.0,22.0,0.0,1.0
1.282,brazil,0.7653061224489796,15.0,23.0,0.0,1.0
1.282,chile,0.1388888888888889,1.0,31.0,0.0,1.0
1.282,colombia,0.30303030303030304,2.0,23.0,0.0,1.0
1.44,argentina,0.7627118644067796,9.0,10.0,1.0,0.9
1.44,bolivia,0.5813953488372093,5.0,18.0,0.0,1.0
1.44,brazil,0.75,12.0,20.0,0.0,1.0
1.44,chile,0.16129032258064516,1.0,26.0,0.0,1.0
1.44,colombia,0.3125,2.0,22.0,0.0,1.0
1.645,argentina,0.8035714285714286,9.0,7.0,1.0,0.9
1.645,bolivia,0.5952380952380952,5.0,17.0,0.0,1.0
1.645,brazil,0.7627118644067796,9.0,14.0,0.0,1.0
1.645,chile,0.0,0.0,21.0,1.0,0.0
1.645,colombia,0.20833333333333331,1.0,19.0,0.0,1.0
1.96,argentina,0.7777777777777778,7.0,6.0,1.0,0.875
1.96,bolivia,0.6410256410256411,5.0,14.0,0.0,1.0
1.96,brazil,0.6818181818181818,6.0,10.0,1.0,0.8571428571428571
1.96,chile,0.0,0.0,14.0,1.0,0.0
1.96,colombia,0.2631578947368421,1.0,14.0,0.0,1.0
2.576,argentina,0.6451612903225806,4.0,3.0,2.0,0.6666666666666666
2.576,bolivia,0.6666666666666666,4.0,10.0,0.0,1.0
2.576,brazil,0.5769230769230769,3.0,3.0,2.0,0.6
2.576,chile,0.0,0.0,6.0,1.0,0.0
2.576,colombia,0.4166666666666667,1.0,7.0,0.0,1.0
99.0,argentina,0.0,0.0,0.0,4.0,0.0
99.0,bolivia,0.0,0.0,0.0,1.0,0.0
99.0,brazil,0.0,0.0,0.0,3.0,0.0
99.0,chile,0.0,0.0,0.0,1.0,0.0
99.0,colombia,0.0,0.0,0.0,1.0,0.0
