,drag,struggle,deterioration,sound,adversely,vulnerable,squeeze,benign,weakness,unease,unexpectedly,resilience,successful,bad,erode,favourably,costly,erosion,illiquid,stabilize,successfully,stabilise,repercussion,profits,buoyancy,damage,gloomy,question,impairment,expose,severely,spiral,deficit,success,dent,difficult,abrupt,turbulent,writedowns,enhance,jeopardise,threaten,healthy,confident,inability,stress,aggravate,suffer,buoyant,improve,fear,worsen,pose,stagnate,lose,strain,enable,deteriorate,force,hurt,solid,favorable,fragility,risky,discourage,resilient,danger,adequately,undermine,negative,recover,recovery,contraction,adverse,mitigate,able,destabilise,unable,exacerbate,shortfall,positive,challenge,burden,comfortable,rebound,downgrade,improvement,positively,closure
1980-01,0.0,0.0,0.0,0.00877470078270331,0.0,0.0,0.00877470078270331,0.0,0.0,0.0,0.0,0.0,0.00877470078270331,0.00877470078270331,0.0,0.0,0.00877470078270331,0.0,0.0,0.0,0.00877470078270331,0.0,0.0,0.0,0.0,0.0,0.0,0.00877470078270331,0.0,0.0,0.0,0.0,0.00877470078270331,0.026324102348109932,0.0,0.00877470078270331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00877470078270331,0.0,0.0,0.0,0.0,0.0,0.0,0.00877470078270331,0.0,0.0,0.0,0.00877470078270331,0.00877470078270331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026324102348109932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026324102348109932
1980-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011850306922949305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011850306922949305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011850306922949305
1980-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538071065989848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2538071065989848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-04,0.0,0.0,0.0,0.020116406941501488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006705468980500496,0.0,0.0,0.0,0.0,0.0,0.0,0.006705468980500496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013410937961000992,0.013410937961000992,0.0,0.0,0.0,0.0,0.0,0.006705468980500496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006705468980500496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006705468980500496,0.006705468980500496,0.0,0.0,0.0,0.0,0.0,0.006705468980500496,0.0,0.006705468980500496,0.0,0.0,0.006705468980500496,0.0,0.013410937961000992,0.0,0.006705468980500496,0.0,0.006705468980500496,0.0,0.0,0.0,0.0,0.013410937961000992,0.0,0.006705468980500496,0.0,0.0,0.0,0.020116406941501488,0.0,0.020116406941501488
1980-05,0.0,0.0,0.0,0.01926355431840729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038527108636814585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028895331477610937
1980-06,0.0,0.05981576743629621,0.0,0.0,0.0,0.0,0.0,0.0,0.05981576743629621,0.0,0.0,0.0,0.1196315348725924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1196315348725924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05981576743629621,0.1196315348725924,0.0,0.1794473023088886,0.0,0.0,0.0,0.0,0.0,0.1196315348725924,0.0,0.0,0.0,0.0,0.0,0.1794473023088886,0.05981576743629621,0.29907883718148104,0.1794473023088886,0.0,0.0,0.0,0.05981576743629621,0.0,0.05981576743629621,0.0,1.0168680464170354,0.05981576743629621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05981576743629621,0.0,0.0,0.0,0.0,0.0,0.0,0.3588946046177772,0.0,0.0,0.0,0.0,0.0,0.05981576743629621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-07,0.0,0.0,0.0,0.016956912485374658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033913824970749316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008478456242687329,0.0,0.0,0.0,0.0,0.008478456242687329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008478456242687329,0.0,0.0,0.0,0.0,0.0,0.008478456242687329,0.0,0.0,0.0,0.0,0.0,0.0,0.033913824970749316
1980-08,0.0,0.0,0.0,0.032681340588590936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032681340588590936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016340670294295468,0.0,0.0,0.0,0.0,0.0,0.032681340588590936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016340670294295468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016340670294295468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016340670294295468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016340670294295468,0.016340670294295468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980-09,0.0,0.0,0.0,0.02002249193260429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033370819887673818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03337081988767382,0.006674163977534764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006674163977534764,0.0,0.0,0.0,0.0,0.0,0.0,0.006674163977534764,0.0,0.006674163977534764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010011245966302146,0.0,0.0,0.0,0.0,0.0,0.0,0.026696655910139054
1980-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01462308985888718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01462308985888718,0.0,0.0,0.0,0.0,0.0,0.02924617971777436,0.0,0.0,0.0,0.0,0.0,0.0,0.01462308985888718
